Peak positions
Peak ID,Peak Name,value,error
0,Ru105,9565.12048209361,0.597842938941533
1,Tc105,9847.85693143009,0.16637175295093
2,Mo105,10212.4438616431,0.101283730896498
3,Nb105,10770.014504899,0.152767134637159
4,Zr105,11406.9786919828,0.758399700258508
5,contam,11632.0351775869,1.29339550328496
6,Ru103,14054.7865191465,2.12859738315991
7,Tc103,14256.8583755248,0.701138524237983
8,Mo103,14534.9039421254,0.152410151187063
9,Nb103,14989.1912228142,0.135688803880086
10,Zr103,15542.94582284,0.185833816240518
11,Y103,15812.2149554708,0.526594952624386

Shape parameters
id,value,error
0,0.583845142776832,0.00855773445202318
0,0.80767688774458,0.0069356682615701
0,7.47125204550578,0.0945337376504067
0,1e-05,0
0,1e-05,0
1,1e-05,0
1,1e-05,0
2,1e-05,0
2,1e-05,0
3,1e-05,0
3,1e-05,0
4,1e-05,0
4,1e-05,0
5,1e-05,0
5,1e-05,0
6,8.24476000614154,0.107845025058911
6,1e-05,0
6,1e-05,0
7,1e-05,0
7,1e-05,0
8,1e-05,0
8,1e-05,0
9,1e-05,0
9,1e-05,0
10,1e-05,0
10,1e-05,0
11,1e-05,0
11,1e-05,0
