Nuc,A,Z,N,mass,dmass,mass excess, dmass excess
n1,1,0,1,1.00866,4.7e-10,8071.32,0.00044
H1,1,1,0,1.00783,1.4e-11,7288.97,1.3e-05
H2,2,1,1,2.0141,1.5e-11,13135.7,1.5e-05
H3,3,1,2,3.01605,8e-11,14949.8,8e-05
He3,3,2,1,3.01603,6e-11,14931.2,6e-05
Li3,3,3,0,3.03078,0.002147,28667,2000
H4,4,1,3,4.02643,0.000107354,24621.1,100
He4,4,2,2,4.0026,1.6e-10,2424.92,0.00015
Li4,4,3,1,4.02719,0.000227733,25323.2,212.132
H5,5,1,4,5.03531,9.602e-05,32892.4,89.443
He5,5,2,3,5.01206,2.147e-05,11231.2,20
Li5,5,3,2,5.01254,5.3677e-05,11678.9,50
Be5,5,4,1,5.03987,0.00215,37139,2003
H6,6,1,5,6.04496,0.000272816,41875.7,254.127
He6,6,2,4,6.01889,5.7e-08,17592.1,0.053
Li6,6,3,3,6.01512,1.55e-09,14086.9,0.00144
Be6,6,4,2,6.01973,5.848e-06,18375,5.448
B6,6,5,1,6.0508,0.00215,47320,2003
H7,7,1,6,7.05275,0.001078,49135,1004
He7,7,2,5,7.02799,8.115e-06,26073.1,7.559
Li7,7,3,4,7.016,4.5e-09,14907.1,0.00419
Be7,7,4,3,7.01693,7.6e-08,15769,0.071
B7,7,5,2,7.02971,2.7e-05,27676.6,25.15
He8,8,2,6,8.03393,9.5e-08,31609.7,0.089
Li8,8,3,5,8.02249,5e-08,20945.8,0.047
Be8,8,4,4,8.00531,3.7e-08,4941.67,0.035
B8,8,5,3,8.02461,1.073e-06,22921.6,1
C8,8,6,2,8.03764,1.9584e-05,35064.3,18.243
He9,9,2,7,9.04395,5.0259e-05,40935.8,46.816
Li9,9,3,6,9.02679,2e-07,24954.9,0.186
Be9,9,4,5,9.01218,8.2e-08,11348.5,0.076
B9,9,5,4,9.01333,9.69e-07,12416.5,0.903
C9,9,6,3,9.03104,2.293e-06,28911,2.137
He10,10,2,8,10.0528,9.9676e-05,49197.1,92.848
Li10,10,3,7,10.0355,1.3656e-05,33052.6,12.721
Be10,10,4,6,10.0135,8.6e-08,12607.5,0.081
B10,10,5,5,10.0129,1.6e-08,12050.6,0.015
C10,10,6,4,10.0169,7.5e-08,15698.7,0.07
N10,10,7,3,10.0417,0.000429417,38800,400
Li11,11,3,8,11.0437,6.6e-07,40728.3,0.615
Be11,11,4,7,11.0217,2.55e-07,20177.2,0.238
B11,11,5,6,11.0093,1.3e-08,8667.71,0.012
C11,11,6,5,11.0114,6.4e-08,10649.4,0.06
N11,11,7,4,11.0262,5.368e-06,24365.6,5
O11,11,8,3,11.0512,6.4453e-05,47738.9,60.038
Li12,12,3,9,12.0526,3.2213e-05,49009.6,30.006
Be12,12,4,8,12.0269,2.048e-06,25077.8,1.909
B12,12,5,7,12.0144,1.418e-06,13369.4,1.321
C12,12,6,6,12,0,0,0
N12,12,7,5,12.0186,1.073e-06,17338.1,1
O12,12,8,4,12.0344,1.2882e-05,32013.3,12
Li13,13,3,10,13.0612,7.515e-05,56980.9,70.003
Be13,13,4,9,13.0361,1.0929e-05,33659.1,10.18
B13,13,5,8,13.0178,1.073e-06,16561.9,1
C13,13,6,7,13.0034,2.5e-10,3125.01,0.00023
N13,13,7,6,13.0057,2.89e-07,5345.48,0.27
O13,13,8,5,13.0248,1.0226e-05,23115.4,9.526
F13,13,9,4,13.0451,0.000537,42030,500
Be14,14,4,10,14.0429,0.00014197,39954.5,132.245
B14,14,5,9,14.0254,2.2773e-05,23663.7,21.213
C14,14,6,8,14.0032,4.03e-09,3019.89,0.00375
N14,14,7,7,14.0031,2.4e-10,2863.42,0.00022
O14,14,8,6,14.0086,2.7e-08,8007.78,0.025
