Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.660000	0         	0.660000	0.0978446 	0.660000	0.00298936	0.660000	0.0978446 	
0.660556	0         	0.660556	0.0978427 	0.660556	0.00299129	0.660556	0.0978427 	
0.661111	0         	0.661111	0.0978407 	0.661111	0.00299322	0.661111	0.0978407 	
0.661667	0         	0.661667	0.0978388 	0.661667	0.00299514	0.661667	0.0978388 	
0.662222	0         	0.662222	0.0978369 	0.662222	0.00299706	0.662222	0.0978369 	
0.662778	0         	0.662778	0.097835  	0.662778	0.00299898	0.662778	0.097835  	
0.663333	0         	0.663333	0.0978331 	0.663333	0.00300089	0.663333	0.0978331 	
0.663889	0         	0.663889	0.0978312 	0.663889	0.0030028 	0.663889	0.0978312 	
0.664444	0         	0.664444	0.0978293 	0.664444	0.0030047 	0.664444	0.0978293 	
0.665000	0         	0.665000	0.0978274 	0.665000	0.0030066 	0.665000	0.0978274 	
0.665556	0         	0.665556	0.0978255 	0.665556	0.0030085 	0.665556	0.0978255 	
0.666111	0         	0.666111	0.0978236 	0.666111	0.00301039	0.666111	0.0978236 	
0.666667	0         	0.666667	0.0978217 	0.666667	0.00301228	0.666667	0.0978217 	
0.667222	0         	0.667222	0.0978198 	0.667222	0.00301417	0.667222	0.0978198 	
0.667778	0         	0.667778	0.0978179 	0.667778	0.00301605	0.667778	0.0978179 	
0.668333	0         	0.668333	0.097816  	0.668333	0.00301792	0.668333	0.097816  	
0.668889	0         	0.668889	0.0978142 	0.668889	0.0030198 	0.668889	0.0978142 	
0.669444	0         	0.669444	0.0978123 	0.669444	0.00302166	0.669444	0.0978123 	
0.670000	0         	0.670000	0.0978104 	0.670000	0.00302353	0.670000	0.0978104 	
0.670556	0         	0.670556	0.0978086 	0.670556	0.00302538	0.670556	0.0978086 	
0.671111	0         	0.671111	0.0978067 	0.671111	0.00302724	0.671111	0.0978067 	
0.671667	0         	0.671667	0.0978049 	0.671667	0.00302909	0.671667	0.0978049 	
0.672222	0         	0.672222	0.097803  	0.672222	0.00303093	0.672222	0.097803  	
0.672778	0         	0.672778	0.0978012 	0.672778	0.00303276	0.672778	0.0978012 	
0.673333	0         	0.673333	0.0977994 	0.673333	0.00303459	0.673333	0.0977994 	
0.673889	0         	0.673889	0.0977975 	0.673889	0.00303642	0.673889	0.0977975 	
0.674444	0         	0.674444	0.0977957 	0.674444	0.00303824	0.674444	0.0977957 	
0.675000	0         	0.675000	0.0977939 	0.675000	0.00304005	0.675000	0.0977939 	
0.675556	0         	0.675556	0.0977921 	0.675556	0.00304186	0.675556	0.0977921 	
0.676111	0         	0.676111	0.0977903 	0.676111	0.00304367	0.676111	0.0977903 	
0.676667	0         	0.676667	0.0977885 	0.676667	0.00304546	0.676667	0.0977885 	
0.677222	0         	0.677222	0.0977867 	0.677222	0.00304726	0.677222	0.0977867 	
0.677778	0         	0.677778	0.0977849 	0.677778	0.00304904	0.677778	0.0977849 	
0.678333	0         	0.678333	0.0977831 	0.678333	0.00305082	0.678333	0.0977831 	
0.678889	0         	0.678889	0.0977814 	0.678889	0.0030526 	0.678889	0.0977814 	
0.679444	0         	0.679444	0.0977796 	0.679444	0.00305437	0.679444	0.0977796 	
0.680000	0         	0.680000	0.0977778 	0.680000	0.00305613	0.680000	0.0977778 	
0.680556	0         	0.680556	0.0977761 	0.680556	0.00305788	0.680556	0.0977761 	
0.681111	0         	0.681111	0.0977743 	0.681111	0.00305963	0.681111	0.0977743 	
0.681667	0         	0.681667	0.0977726 	0.681667	0.00306137	0.681667	0.0977726 	
0.682222	0         	0.682222	0.0977709 	0.682222	0.0030631 	0.682222	0.0977709 	
0.682778	0         	0.682778	0.0977691 	0.682778	0.00306483	0.682778	0.0977691 	
0.683333	0         	0.683333	0.0977674 	0.683333	0.00306655	0.683333	0.0977674 	
0.683889	0         	0.683889	0.0977657 	0.683889	0.00306826	0.683889	0.0977657 	
0.684444	0         	0.684444	0.097764  	0.684444	0.00306997	0.684444	0.097764  	
0.685000	0         	0.685000	0.0977623 	0.685000	0.00307166	0.685000	0.0977623 	
0.685556	0         	0.685556	0.0977606 	0.685556	0.00307335	0.685556	0.0977606 	
0.686111	0         	0.686111	0.0977589 	0.686111	0.00307503	0.686111	0.0977589 	
0.686667	0         	0.686667	0.0977573 	0.686667	0.0030767 	0.686667	0.0977573 	
0.687222	0         	0.687222	0.0977556 	0.687222	0.00307836	0.687222	0.0977556 	
0.687778	0         	0.687778	0.0977539 	0.687778	0.00308001	0.687778	0.0977539 	
0.688333	0         	0.688333	0.0977523 	0.688333	0.00308166	0.688333	0.0977523 	
0.688889	0         	0.688889	0.0977507 	0.688889	0.00308329	0.688889	0.0977507 	
0.689444	0         	0.689444	0.097749  	0.689444	0.00308491	0.689444	0.097749  	
0.690000	0         	0.690000	0.0977474 	0.690000	0.00308653	0.690000	0.0977474 	
0.690556	0         	0.690556	0.0977458 	0.690556	0.00308813	0.690556	0.0977458 	
0.691111	0         	0.691111	0.0977442 	0.691111	0.00308972	0.691111	0.0977442 	
0.691667	0         	0.691667	0.0977427 	0.691667	0.0030913 	0.691667	0.0977427 	
0.692222	0         	0.692222	0.0977411 	0.692222	0.00309288	0.692222	0.0977411 	
0.692778	7.09872e-12	0.692778	0.0977395 	0.692778	0.00309443	0.692778	0.0977395 	
0.693333	1.17134e-10	0.693333	0.097738  	0.693333	0.00309598	0.693333	0.097738  	
0.693889	7.71421e-10	0.693889	0.0977364 	0.693889	0.00309751	0.693889	0.0977364 	
0.694444	5.47054e-09	0.694444	0.0977344 	0.694444	0.00309954	0.694444	0.0977344 	
0.695000	1.77476e-08	0.695000	0.0977329 	0.695000	0.00310106	0.695000	0.0977329 	
0.695556	4.94109e-08	0.695556	0.0977314 	0.695556	0.00310256	0.695556	0.0977314 	
0.696111	1.23328e-07	0.696111	0.0977298 	0.696111	0.00310405	0.696111	0.0977299 	
0.696667	2.55662e-07	0.696667	0.0977282 	0.696667	0.00310553	0.696667	0.0977284 	
0.697222	4.61701e-07	0.697222	0.0977265 	0.697222	0.00310701	0.697222	0.097727  	
0.697778	7.93522e-07	0.697778	0.0977247 	0.697778	0.0031085 	0.697778	0.0977255 	
0.698333	1.2674e-06	0.698333	0.0977227 	0.698333	0.00311003	0.698333	0.0977239 	
0.698889	1.9123e-06	0.698889	0.0977204 	0.698889	0.00311162	0.698889	0.0977223 	
0.699444	2.82749e-06	0.699444	0.0977178 	0.699444	0.00311331	0.699444	0.0977206 	
0.700000	4.07184e-06	0.700000	0.0977147 	0.700000	0.00311522	0.700000	0.0977187 	
0.700556	5.71556e-06	0.700556	0.097711  	0.700556	0.00311729	0.700556	0.0977167 	
0.701111	7.94162e-06	0.701111	0.0977063 	0.701111	0.00311968	0.701111	0.0977143 	
0.701667	1.11484e-05	0.701667	0.0977003 	0.701667	0.0031225 	0.701667	0.0977115 	
0.702222	1.513e-05 	0.702222	0.0976929 	0.702222	0.00312593	0.702222	0.097708  	
0.702778	2.03079e-05	0.702778	0.0976835 	0.702778	0.00313014	0.702778	0.0977038 	
0.703333	2.707e-05 	0.703333	0.0976715 	0.703333	0.00313541	0.703333	0.0976986 	
0.703889	3.59606e-05	0.703889	0.0976559 	0.703889	0.00314215	0.703889	0.0976918 	
0.704444	4.69336e-05	0.704444	0.0976365 	0.704444	0.00315057	0.704444	0.0976834 	
0.705000	6.08912e-05	0.705000	0.0976117 	0.705000	0.00316136	0.705000	0.0976726 	
0.705556	7.8143e-05	0.705556	0.0975809 	0.705556	0.00317488	0.705556	0.0976591 	
0.706111	9.93251e-05	0.706111	0.0975425 	0.706111	0.00319211	0.706111	0.0976418 	
