Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.800000	0         	0.800000	0.40128   	0.800000	0.0144221 	0.800000	0.40128   	
0.800667	0         	0.800667	0.401271  	0.800667	0.0144317 	0.800667	0.401271  	
0.801333	0         	0.801333	0.401261  	0.801333	0.0144413 	0.801333	0.401261  	
0.802000	0         	0.802000	0.401251  	0.802000	0.014451  	0.802000	0.401251  	
0.802667	0         	0.802667	0.401242  	0.802667	0.0144606 	0.802667	0.401242  	
0.803333	0         	0.803333	0.401232  	0.803333	0.0144701 	0.803333	0.401232  	
0.804000	0         	0.804000	0.401223  	0.804000	0.0144797 	0.804000	0.401223  	
0.804667	0         	0.804667	0.401213  	0.804667	0.0144893 	0.804667	0.401213  	
0.805333	0         	0.805333	0.401204  	0.805333	0.0144988 	0.805333	0.401204  	
0.806000	0         	0.806000	0.401194  	0.806000	0.0145083 	0.806000	0.401194  	
0.806667	0         	0.806667	0.401185  	0.806667	0.0145178 	0.806667	0.401185  	
0.807333	0         	0.807333	0.401175  	0.807333	0.0145273 	0.807333	0.401175  	
0.808000	0         	0.808000	0.401166  	0.808000	0.0145368 	0.808000	0.401166  	
0.808667	0         	0.808667	0.401156  	0.808667	0.0145462 	0.808667	0.401156  	
0.809333	0         	0.809333	0.401147  	0.809333	0.0145557 	0.809333	0.401147  	
0.810000	0         	0.810000	0.401137  	0.810000	0.0145651 	0.810000	0.401137  	
0.810667	0         	0.810667	0.401128  	0.810667	0.0145745 	0.810667	0.401128  	
0.811333	0         	0.811333	0.401118  	0.811333	0.0145839 	0.811333	0.401118  	
0.812000	0         	0.812000	0.401109  	0.812000	0.0145932 	0.812000	0.401109  	
0.812667	0         	0.812667	0.4011    	0.812667	0.0146026 	0.812667	0.4011    	
0.813333	0         	0.813333	0.40109   	0.813333	0.0146119 	0.813333	0.40109   	
0.814000	0         	0.814000	0.401081  	0.814000	0.0146212 	0.814000	0.401081  	
0.814667	0         	0.814667	0.401072  	0.814667	0.0146305 	0.814667	0.401072  	
0.815333	0         	0.815333	0.401063  	0.815333	0.0146398 	0.815333	0.401063  	
0.816000	0         	0.816000	0.401053  	0.816000	0.014649  	0.816000	0.401053  	
0.816667	0         	0.816667	0.401044  	0.816667	0.0146582 	0.816667	0.401044  	
0.817333	0         	0.817333	0.401035  	0.817333	0.0146674 	0.817333	0.401035  	
0.818000	0         	0.818000	0.401026  	0.818000	0.0146766 	0.818000	0.401026  	
0.818667	0         	0.818667	0.401017  	0.818667	0.0146857 	0.818667	0.401017  	
0.819333	0         	0.819333	0.401007  	0.819333	0.0146949 	0.819333	0.401007  	
0.820000	0         	0.820000	0.400998  	0.820000	0.014704  	0.820000	0.400998  	
0.820667	0         	0.820667	0.400989  	0.820667	0.0147131 	0.820667	0.400989  	
0.821333	0         	0.821333	0.40098   	0.821333	0.0147221 	0.821333	0.40098   	
0.822000	0         	0.822000	0.400971  	0.822000	0.0147311 	0.822000	0.400971  	
0.822667	0         	0.822667	0.400962  	0.822667	0.0147401 	0.822667	0.400962  	
0.823333	0         	0.823333	0.400953  	0.823333	0.0147491 	0.823333	0.400953  	
0.824000	0         	0.824000	0.400944  	0.824000	0.0147581 	0.824000	0.400944  	
0.824667	0         	0.824667	0.400935  	0.824667	0.014767  	0.824667	0.400935  	
0.825333	0         	0.825333	0.400927  	0.825333	0.0147758 	0.825333	0.400927  	
0.826000	0         	0.826000	0.400918  	0.826000	0.0147847 	0.826000	0.400918  	
0.826667	0         	0.826667	0.400909  	0.826667	0.0147935 	0.826667	0.400909  	
0.827333	0         	0.827333	0.4009    	0.827333	0.0148023 	0.827333	0.4009    	
0.828000	0         	0.828000	0.400891  	0.828000	0.0148111 	0.828000	0.400891  	
0.828667	0         	0.828667	0.400883  	0.828667	0.0148198 	0.828667	0.400883  	
0.829333	0         	0.829333	0.400874  	0.829333	0.0148285 	0.829333	0.400874  	
0.830000	0         	0.830000	0.400865  	0.830000	0.0148371 	0.830000	0.400865  	
0.830667	0         	0.830667	0.400857  	0.830667	0.0148457 	0.830667	0.400857  	
0.831333	0         	0.831333	0.400848  	0.831333	0.0148543 	0.831333	0.400848  	
0.832000	0         	0.832000	0.40084   	0.832000	0.0148628 	0.832000	0.40084   	
0.832667	0         	0.832667	0.400831  	0.832667	0.0148713 	0.832667	0.400831  	
0.833333	0         	0.833333	0.400823  	0.833333	0.0148797 	0.833333	0.400823  	
0.834000	0         	0.834000	0.400814  	0.834000	0.0148881 	0.834000	0.400814  	
0.834667	0         	0.834667	0.400806  	0.834667	0.0148965 	0.834667	0.400806  	
0.835333	0         	0.835333	0.400798  	0.835333	0.0149048 	0.835333	0.400798  	
0.836000	0         	0.836000	0.400789  	0.836000	0.014913  	0.836000	0.400789  	
0.836667	0         	0.836667	0.400781  	0.836667	0.0149213 	0.836667	0.400781  	
0.837333	0         	0.837333	0.400773  	0.837333	0.0149294 	0.837333	0.400773  	
0.838000	0         	0.838000	0.400765  	0.838000	0.0149375 	0.838000	0.400765  	
