Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.720000	0         	0.720000	1.44409   	0.720000	0.0473961 	0.720000	1.44409   	
0.720833	0         	0.720833	1.44405   	0.720833	0.0474376 	0.720833	1.44405   	
0.721667	0         	0.721667	1.44401   	0.721667	0.0474789 	0.721667	1.44401   	
0.722500	0         	0.722500	1.44397   	0.722500	0.04752   	0.722500	1.44397   	
0.723333	0         	0.723333	1.44393   	0.723333	0.0475611 	0.723333	1.44393   	
0.724167	0         	0.724167	1.44389   	0.724167	0.0476019 	0.724167	1.44389   	
0.725000	0         	0.725000	1.44385   	0.725000	0.0476426 	0.725000	1.44385   	
0.725833	0         	0.725833	1.44381   	0.725833	0.0476831 	0.725833	1.44381   	
0.726667	0         	0.726667	1.44377   	0.726667	0.0477235 	0.726667	1.44377   	
0.727500	0         	0.727500	1.44373   	0.727500	0.0477637 	0.727500	1.44373   	
0.728333	0         	0.728333	1.44369   	0.728333	0.0478037 	0.728333	1.44369   	
0.729167	0         	0.729167	1.44365   	0.729167	0.0478436 	0.729167	1.44365   	
0.730000	0         	0.730000	1.44361   	0.730000	0.0478832 	0.730000	1.44361   	
0.730833	0         	0.730833	1.44357   	0.730833	0.0479227 	0.730833	1.44357   	
0.731667	0         	0.731667	1.44353   	0.731667	0.047962  	0.731667	1.44353   	
0.732500	0         	0.732500	1.44349   	0.732500	0.048001  	0.732500	1.44349   	
0.733333	0         	0.733333	1.44345   	0.733333	0.0480397 	0.733333	1.44345   	
0.734167	0         	0.734167	1.44341   	0.734167	0.0480782 	0.734167	1.44341   	
0.735000	0         	0.735000	1.44337   	0.735000	0.0481166 	0.735000	1.44337   	
0.735833	0         	0.735833	1.44334   	0.735833	0.0481546 	0.735833	1.44334   	
