Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.800000	0         	0.800000	73.8461   	0.800000	2.6633    	0.800000	73.8461   	
0.800889	0         	0.800889	73.8437   	0.800889	2.66573   	0.800889	73.8437   	
0.801778	0         	0.801778	73.8412   	0.801778	2.66817   	0.801778	73.8412   	
0.802667	0         	0.802667	73.8388   	0.802667	2.6706    	0.802667	73.8388   	
0.803556	0         	0.803556	73.8364   	0.803556	2.67303   	0.803556	73.8364   	
0.804444	0         	0.804444	73.8339   	0.804444	2.67545   	0.804444	73.8339   	
0.805333	0         	0.805333	73.8315   	0.805333	2.67787   	0.805333	73.8315   	
0.806222	0         	0.806222	73.8291   	0.806222	2.68029   	0.806222	73.8291   	
0.807111	0         	0.807111	73.8267   	0.807111	2.6827    	0.807111	73.8267   	
0.808000	0         	0.808000	73.8243   	0.808000	2.68511   	0.808000	73.8243   	
0.808889	0         	0.808889	73.8219   	0.808889	2.68752   	0.808889	73.8219   	
0.809778	0         	0.809778	73.8195   	0.809778	2.68992   	0.809778	73.8195   	
0.810667	0         	0.810667	73.8171   	0.810667	2.69232   	0.810667	73.8171   	
0.811556	0         	0.811556	73.8147   	0.811556	2.69471   	0.811556	73.8147   	
0.812444	0         	0.812444	73.8123   	0.812444	2.6971    	0.812444	73.8123   	
0.813333	0         	0.813333	73.8099   	0.813333	2.69948   	0.813333	73.8099   	
0.814222	0         	0.814222	73.8075   	0.814222	2.70187   	0.814222	73.8075   	
0.815111	0         	0.815111	73.8052   	0.815111	2.70424   	0.815111	73.8052   	
0.816000	0         	0.816000	73.8028   	0.816000	2.70661   	0.816000	73.8028   	
0.816889	0         	0.816889	73.8004   	0.816889	2.70898   	0.816889	73.8004   	
0.817778	0         	0.817778	73.798    	0.817778	2.71134   	0.817778	73.798    	
0.818667	0         	0.818667	73.7957   	0.818667	2.7137    	0.818667	73.7957   	
0.819556	0         	0.819556	73.7933   	0.819556	2.71605   	0.819556	73.7933   	
0.820444	0         	0.820444	73.791    	0.820444	2.7184    	0.820444	73.791    	
0.821333	0         	0.821333	73.7887   	0.821333	2.72074   	0.821333	73.7887   	
0.822222	0         	0.822222	73.7863   	0.822222	2.72307   	0.822222	73.7863   	
0.823111	0         	0.823111	73.784    	0.823111	2.7254    	0.823111	73.784    	
0.824000	0         	0.824000	73.7817   	0.824000	2.72773   	0.824000	73.7817   	
0.824889	0         	0.824889	73.7794   	0.824889	2.73004   	0.824889	73.7794   	
0.825778	0         	0.825778	73.7771   	0.825778	2.73234   	0.825778	73.7771   	
0.826667	0         	0.826667	73.7748   	0.826667	2.73464   	0.826667	73.7748   	
0.827556	0         	0.827556	73.7725   	0.827556	2.73693   	0.827556	73.7725   	
0.828444	0         	0.828444	73.7702   	0.828444	2.73922   	0.828444	73.7702   	
0.829333	0         	0.829333	73.7679   	0.829333	2.74149   	0.829333	73.7679   	
0.830222	0         	0.830222	73.7656   	0.830222	2.74377   	0.830222	73.7656   	
0.831111	0         	0.831111	73.7634   	0.831111	2.74603   	0.831111	73.7634   	
0.832000	0         	0.832000	73.7611   	0.832000	2.74829   	0.832000	73.7611   	
0.832889	0         	0.832889	73.7589   	0.832889	2.75054   	0.832889	73.7589   	
0.833778	0         	0.833778	73.7566   	0.833778	2.75278   	0.833778	73.7566   	
0.834667	0         	0.834667	73.7544   	0.834667	2.75502   	0.834667	73.7544   	
0.835556	0         	0.835556	73.7521   	0.835556	2.75724   	0.835556	73.7521   	
0.836444	0         	0.836444	73.7499   	0.836444	2.75946   	0.836444	73.7499   	
0.837333	0         	0.837333	73.7477   	0.837333	2.76167   	0.837333	73.7477   	
0.838222	0         	0.838222	73.7455   	0.838222	2.76387   	0.838222	73.7455   	
0.839111	0         	0.839111	73.7433   	0.839111	2.76606   	0.839111	73.7433   	
0.840000	0         	0.840000	73.7412   	0.840000	2.76824   	0.840000	73.7412   	
0.840889	0         	0.840889	73.739    	0.840889	2.77041   	0.840889	73.739    	
0.841778	0         	0.841778	73.7368   	0.841778	2.77257   	0.841778	73.7368   	
0.842667	0         	0.842667	73.7347   	0.842667	2.77473   	0.842667	73.7347   	
0.843556	0         	0.843556	73.7325   	0.843556	2.77687   	0.843556	73.7325   	
0.844444	0         	0.844444	73.7304   	0.844444	2.779     	0.844444	73.7304   	
0.845333	0         	0.845333	73.7283   	0.845333	2.78111   	0.845333	73.7283   	
0.846222	0         	0.846222	73.7262   	0.846222	2.78322   	0.846222	73.7262   	
0.847111	0         	0.847111	73.7241   	0.847111	2.78531   	0.847111	73.7241   	
0.848000	0         	0.848000	73.722    	0.848000	2.78739   	0.848000	73.722    	
0.848889	0         	0.848889	73.7199   	0.848889	2.78946   	0.848889	73.7199   	
0.849778	0         	0.849778	73.7179   	0.849778	2.79151   	0.849778	73.7179   	
0.850667	0         	0.850667	73.7158   	0.850667	2.79355   	0.850667	73.7158   	
0.851556	0         	0.851556	73.7138   	0.851556	2.79558   	0.851556	73.7138   	
0.852444	0         	0.852444	73.7118   	0.852444	2.79758   	0.852444	73.7118   	
0.853333	0         	0.853333	73.7098   	0.853333	2.79958   	0.853333	73.7098   	
0.854222	0         	0.854222	73.7078   	0.854222	2.80155   	0.854222	73.7078   	
0.855111	0         	0.855111	73.7059   	0.855111	2.8035    	0.855111	73.7059   	
0.856000	0         	0.856000	73.704    	0.856000	2.80544   	0.856000	73.704    	
0.856889	0         	0.856889	73.702    	0.856889	2.80736   	0.856889	73.702    	
0.857778	0         	0.857778	73.7001   	0.857778	2.80926   	0.857778	73.7001   	
0.858667	0         	0.858667	73.6983   	0.858667	2.81113   	0.858667	73.6983   	
0.859556	0         	0.859556	73.6964   	0.859556	2.81298   	0.859556	73.6964   	
0.860444	0         	0.860444	73.6946   	0.860444	2.81481   	0.860444	73.6946   	
0.861333	0         	0.861333	73.6928   	0.861333	2.81661   	0.861333	73.6928   	
0.862222	0         	0.862222	73.691    	0.862222	2.81839   	0.862222	73.691    	
0.863111	0         	0.863111	73.6893   	0.863111	2.82013   	0.863111	73.6893   	
0.864000	3.31193e-09	0.864000	73.6875   	0.864000	2.82185   	0.864000	73.6875   	
0.864889	3.13859e-05	0.864889	73.6858   	0.864889	2.82353   	0.864889	73.6859   	
0.865778	0.00322665	0.865778	73.681    	0.865778	2.82518   	0.865778	73.6842   	
0.866667	0.00534662	0.866667	73.6772   	0.866667	2.82683   	0.866667	73.6826   	
0.867556	0.00752688	0.867556	73.6718   	0.867556	2.83011   	0.867556	73.6793   	
0.868444	0.0121416 	0.868444	73.6614   	0.868444	2.83584   	0.868444	73.6735   	
0.869333	0.0198357 	0.869333	73.6466   	0.869333	2.84292   	0.869333	73.6665   	
0.870222	0.031829  	0.870222	73.624    	0.870222	2.85357   	0.870222	73.6558   	
0.871111	0.0499716 	0.871111	73.5896   	0.871111	2.86985   	0.871111	73.6395   	
0.872000	0.0765103 	0.872000	73.5381   	0.872000	2.89476   	0.872000	73.6146   	
0.872889	0.114293  	0.872889	73.4626   	0.872889	2.93248   	0.872889	73.5769   	
0.873778	0.166477  	0.873778	73.3545   	0.873778	2.98839   	0.873778	73.521    	
0.874667	0.236721  	0.874667	73.2032   	0.874667	3.0695    	0.874667	73.4399   	
0.875556	0.328751  	0.875556	72.9964   	0.875556	3.18421   	0.875556	73.3252   	
0.876444	0.446442  	0.876444	72.7202   	0.876444	3.34278   	0.876444	73.1666   	
0.877333	0.593046  	0.877333	72.3599   	0.877333	3.55643   	0.877333	72.953    	
0.878222	0.77135   	0.878222	71.902    	0.878222	3.83603   	0.878222	72.6734   	
0.879111	0.98299   	0.879111	71.3326   	0.879111	4.19377   	0.879111	72.3156   	
0.880000	1.22909   	0.880000	70.6408   	0.880000	4.63947   	0.880000	71.8699   	
0.880889	1.50876   	0.880889	69.8197   	0.880889	5.18098   	0.880889	71.3284   	
0.881778	1.81958   	0.881778	68.8719   	0.881778	5.8179    	0.881778	70.6915   	
0.882667	2.15819   	0.882667	67.8075   	0.882667	6.54373   	0.882667	69.9657   	
0.883556	2.51984   	0.883556	66.6544   	0.883556	7.33512   	0.883556	69.1743   	
0.884444	2.89933   	0.884444	65.4502   	0.884444	8.15986   	0.884444	68.3495   	
0.885333	3.29573   	0.885333	64.2451   	0.885333	8.96858   	0.885333	67.5408   	
0.886222	3.71308   	0.886222	63.0655   	0.886222	9.73079   	0.886222	66.7786   	
0.887111	4.16      	0.887111	61.9513   	0.887111	10.3981   	0.887111	66.1113   	
0.888000	4.63672   	0.888000	60.9368   	0.888000	10.9358   	0.888000	65.5736   	
0.888889	5.14919   	0.888889	60.1065   	0.888889	11.2537   	0.888889	65.2557   	
0.889778	5.7248    	0.889778	59.6087   	0.889778	11.1759   	0.889778	65.3335   	
0.890667	6.40605   	0.890667	59.3152   	0.890667	10.7881   	0.890667	65.7213   	
0.891556	7.26672   	0.891556	58.9186   	0.891556	10.3241   	0.891556	66.1853   	
0.892444	8.37261   	0.892444	58.1806   	0.892444	9.95617   	0.892444	66.5532   	
0.893333	9.77228   	0.893333	57.0438   	0.893333	9.69326   	0.893333	66.8161   	
