Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.740000	0         	0.740000	120.483   	0.740000	4.05835   	0.740000	120.483   	
0.740556	0         	0.740556	120.481   	0.740556	4.0606    	0.740556	120.481   	
0.741111	0         	0.741111	120.479   	0.741111	4.06284   	0.741111	120.479   	
0.741667	0         	0.741667	120.476   	0.741667	4.06507   	0.741667	120.476   	
0.742222	0         	0.742222	120.474   	0.742222	4.06729   	0.742222	120.474   	
0.742778	0         	0.742778	120.472   	0.742778	4.06951   	0.742778	120.472   	
0.743333	0         	0.743333	120.47    	0.743333	4.07172   	0.743333	120.47    	
0.743889	0         	0.743889	120.467   	0.743889	4.07392   	0.743889	120.467   	
0.744444	0         	0.744444	120.465   	0.744444	4.07612   	0.744444	120.465   	
0.745000	0         	0.745000	120.463   	0.745000	4.07831   	0.745000	120.463   	
0.745556	0         	0.745556	120.461   	0.745556	4.08049   	0.745556	120.461   	
0.746111	0         	0.746111	120.459   	0.746111	4.08267   	0.746111	120.459   	
0.746667	0         	0.746667	120.457   	0.746667	4.08484   	0.746667	120.457   	
0.747222	0         	0.747222	120.454   	0.747222	4.08699   	0.747222	120.454   	
0.747778	0         	0.747778	120.452   	0.747778	4.08914   	0.747778	120.452   	
0.748333	0         	0.748333	120.45    	0.748333	4.09129   	0.748333	120.45    	
0.748889	0         	0.748889	120.448   	0.748889	4.09342   	0.748889	120.448   	
0.749444	0         	0.749444	120.446   	0.749444	4.09554   	0.749444	120.446   	
0.750000	0         	0.750000	120.444   	0.750000	4.09766   	0.750000	120.444   	
0.750556	0         	0.750556	120.442   	0.750556	4.09977   	0.750556	120.442   	
0.751111	0         	0.751111	120.44    	0.751111	4.10186   	0.751111	120.44    	
0.751667	0         	0.751667	120.437   	0.751667	4.10395   	0.751667	120.437   	
0.752222	0         	0.752222	120.435   	0.752222	4.10603   	0.752222	120.435   	
0.752778	0         	0.752778	120.433   	0.752778	4.10809   	0.752778	120.433   	
