Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.660000	0         	0.660000	1.91671   	0.660000	0.0587763 	0.660000	1.91671   	
0.660500	0         	0.660500	1.91668   	0.660500	0.058813  	0.660500	1.91668   	
0.661000	0         	0.661000	1.91664   	0.661000	0.0588496 	0.661000	1.91664   	
0.661500	0         	0.661500	1.9166    	0.661500	0.0588863 	0.661500	1.9166    	
0.662000	0         	0.662000	1.91657   	0.662000	0.0589229 	0.662000	1.91657   	
0.662500	0         	0.662500	1.91653   	0.662500	0.0589595 	0.662500	1.91653   	
0.663000	0         	0.663000	1.91649   	0.663000	0.0589961 	0.663000	1.91649   	
0.663500	0         	0.663500	1.91646   	0.663500	0.0590327 	0.663500	1.91646   	
0.664000	0         	0.664000	1.91642   	0.664000	0.0590693 	0.664000	1.91642   	
0.664500	0         	0.664500	1.91638   	0.664500	0.0591058 	0.664500	1.91638   	
0.665000	0         	0.665000	1.91635   	0.665000	0.0591423 	0.665000	1.91635   	
0.665500	0         	0.665500	1.91631   	0.665500	0.0591787 	0.665500	1.91631   	
0.666000	0         	0.666000	1.91627   	0.666000	0.0592152 	0.666000	1.91627   	
0.666500	0         	0.666500	1.91624   	0.666500	0.0592516 	0.666500	1.91624   	
0.667000	0         	0.667000	1.9162    	0.667000	0.059288  	0.667000	1.9162    	
0.667500	0         	0.667500	1.91617   	0.667500	0.0593243 	0.667500	1.91617   	
0.668000	0         	0.668000	1.91613   	0.668000	0.0593607 	0.668000	1.91613   	
0.668500	0         	0.668500	1.91609   	0.668500	0.059397  	0.668500	1.91609   	
0.669000	0         	0.669000	1.91606   	0.669000	0.0594333 	0.669000	1.91606   	
0.669500	0         	0.669500	1.91602   	0.669500	0.0594696 	0.669500	1.91602   	
0.670000	0         	0.670000	1.91598   	0.670000	0.0595058 	0.670000	1.91598   	
0.670500	0         	0.670500	1.91595   	0.670500	0.059542  	0.670500	1.91595   	
0.671000	0         	0.671000	1.91591   	0.671000	0.0595782 	0.671000	1.91591   	
0.671500	0         	0.671500	1.91588   	0.671500	0.0596143 	0.671500	1.91588   	
0.672000	0         	0.672000	1.91584   	0.672000	0.0596504 	0.672000	1.91584   	
0.672500	0         	0.672500	1.9158    	0.672500	0.0596865 	0.672500	1.9158    	
0.673000	0         	0.673000	1.91577   	0.673000	0.0597226 	0.673000	1.91577   	
