Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.660000	0         	0.660000	0.353037  	0.660000	0.0107024 	0.660000	0.353037  	
0.660500	0         	0.660500	0.35303   	0.660500	0.0107096 	0.660500	0.35303   	
0.661000	0         	0.661000	0.353023  	0.661000	0.0107167 	0.661000	0.353023  	
0.661500	0         	0.661500	0.353016  	0.661500	0.0107238 	0.661500	0.353016  	
0.662000	0         	0.662000	0.353009  	0.662000	0.010731  	0.662000	0.353009  	
0.662500	0         	0.662500	0.353002  	0.662500	0.0107381 	0.662500	0.353002  	
0.663000	0         	0.663000	0.352994  	0.663000	0.0107452 	0.663000	0.352994  	
0.663500	0         	0.663500	0.352987  	0.663500	0.0107523 	0.663500	0.352987  	
0.664000	0         	0.664000	0.35298   	0.664000	0.0107594 	0.664000	0.35298   	
0.664500	0         	0.664500	0.352973  	0.664500	0.0107666 	0.664500	0.352973  	
0.665000	0         	0.665000	0.352966  	0.665000	0.0107737 	0.665000	0.352966  	
0.665500	0         	0.665500	0.352959  	0.665500	0.0107808 	0.665500	0.352959  	
0.666000	0         	0.666000	0.352952  	0.666000	0.0107879 	0.666000	0.352952  	
0.666500	0         	0.666500	0.352945  	0.666500	0.0107951 	0.666500	0.352945  	
0.667000	0         	0.667000	0.352937  	0.667000	0.0108022 	0.667000	0.352937  	
0.667500	0         	0.667500	0.35293   	0.667500	0.0108093 	0.667500	0.35293   	
0.668000	0         	0.668000	0.352923  	0.668000	0.0108164 	0.668000	0.352923  	
0.668500	0         	0.668500	0.352916  	0.668500	0.0108235 	0.668500	0.352916  	
0.669000	0         	0.669000	0.352909  	0.669000	0.0108306 	0.669000	0.352909  	
0.669500	0         	0.669500	0.352902  	0.669500	0.0108377 	0.669500	0.352902  	
0.670000	0         	0.670000	0.352895  	0.670000	0.0108448 	0.670000	0.352895  	
0.670500	0         	0.670500	0.352888  	0.670500	0.0108519 	0.670500	0.352888  	
0.671000	0         	0.671000	0.352881  	0.671000	0.0108591 	0.671000	0.352881  	
0.671500	0         	0.671500	0.352873  	0.671500	0.0108662 	0.671500	0.352873  	
0.672000	0         	0.672000	0.352866  	0.672000	0.0108733 	0.672000	0.352866  	
0.672500	0         	0.672500	0.352859  	0.672500	0.0108804 	0.672500	0.352859  	
0.673000	0         	0.673000	0.352852  	0.673000	0.0108875 	0.673000	0.352852  	
0.673500	0         	0.673500	0.352845  	0.673500	0.0108946 	0.673500	0.352845  	
0.674000	0         	0.674000	0.352838  	0.674000	0.0109017 	0.674000	0.352838  	
0.674500	0         	0.674500	0.352831  	0.674500	0.0109088 	0.674500	0.352831  	
0.675000	0         	0.675000	0.352824  	0.675000	0.0109159 	0.675000	0.352824  	
0.675500	0         	0.675500	0.352817  	0.675500	0.010923  	0.675500	0.352817  	
0.676000	0         	0.676000	0.35281   	0.676000	0.0109301 	0.676000	0.35281   	
0.676500	0         	0.676500	0.352802  	0.676500	0.0109372 	0.676500	0.352802  	
0.677000	0         	0.677000	0.352795  	0.677000	0.0109442 	0.677000	0.352795  	
0.677500	0         	0.677500	0.352788  	0.677500	0.0109513 	0.677500	0.352788  	
0.678000	0         	0.678000	0.352781  	0.678000	0.0109584 	0.678000	0.352781  	
0.678500	0         	0.678500	0.352774  	0.678500	0.0109655 	0.678500	0.352774  	
0.679000	0         	0.679000	0.352767  	0.679000	0.0109726 	0.679000	0.352767  	
0.679500	0         	0.679500	0.35276   	0.679500	0.0109797 	0.679500	0.35276   	
0.680000	0         	0.680000	0.352753  	0.680000	0.0109868 	0.680000	0.352753  	
0.680500	0         	0.680500	0.352746  	0.680500	0.0109938 	0.680500	0.352746  	
0.681000	0         	0.681000	0.352739  	0.681000	0.0110009 	0.681000	0.352739  	
0.681500	0         	0.681500	0.352732  	0.681500	0.0110079 	0.681500	0.352732  	
0.682000	0         	0.682000	0.352725  	0.682000	0.011015  	0.682000	0.352725  	
0.682500	0         	0.682500	0.352718  	0.682500	0.0110221 	0.682500	0.352718  	
0.683000	0         	0.683000	0.35271   	0.683000	0.0110291 	0.683000	0.35271   	
0.683500	0         	0.683500	0.352703  	0.683500	0.0110362 	0.683500	0.352703  	
0.684000	0         	0.684000	0.352696  	0.684000	0.0110432 	0.684000	0.352696  	
0.684500	0         	0.684500	0.352689  	0.684500	0.0110503 	0.684500	0.352689  	
0.685000	0         	0.685000	0.352682  	0.685000	0.0110574 	0.685000	0.352682  	
0.685500	0         	0.685500	0.352675  	0.685500	0.0110644 	0.685500	0.352675  	
0.686000	0         	0.686000	0.352668  	0.686000	0.0110715 	0.686000	0.352668  	
0.686500	0         	0.686500	0.352661  	0.686500	0.0110785 	0.686500	0.352661  	
0.687000	0         	0.687000	0.352654  	0.687000	0.0110856 	0.687000	0.352654  	
0.687500	0         	0.687500	0.352647  	0.687500	0.0110926 	0.687500	0.352647  	
0.688000	0         	0.688000	0.35264   	0.688000	0.0110997 	0.688000	0.35264   	
0.688500	0         	0.688500	0.352633  	0.688500	0.0111067 	0.688500	0.352633  	
0.689000	0         	0.689000	0.352626  	0.689000	0.0111138 	0.689000	0.352626  	
0.689500	0         	0.689500	0.352619  	0.689500	0.0111208 	0.689500	0.352619  	
0.690000	0         	0.690000	0.352612  	0.690000	0.0111279 	0.690000	0.352612  	
0.690500	0         	0.690500	0.352605  	0.690500	0.0111349 	0.690500	0.352605  	
0.691000	0         	0.691000	0.352598  	0.691000	0.0111419 	0.691000	0.352598  	
0.691500	0         	0.691500	0.352591  	0.691500	0.011149  	0.691500	0.352591  	
0.692000	0         	0.692000	0.352584  	0.692000	0.011156  	0.692000	0.352584  	
0.692500	0         	0.692500	0.352577  	0.692500	0.0111631 	0.692500	0.352577  	
0.693000	0         	0.693000	0.352569  	0.693000	0.0111701 	0.693000	0.352569  	
0.693500	0         	0.693500	0.352562  	0.693500	0.0111771 	0.693500	0.352562  	
0.694000	0         	0.694000	0.352555  	0.694000	0.0111842 	0.694000	0.352555  	
0.694500	0         	0.694500	0.352548  	0.694500	0.0111912 	0.694500	0.352548  	
0.695000	0         	0.695000	0.352541  	0.695000	0.0111982 	0.695000	0.352541  	
0.695500	0         	0.695500	0.352534  	0.695500	0.0112053 	0.695500	0.352534  	
0.696000	0         	0.696000	0.352527  	0.696000	0.0112123 	0.696000	0.352527  	
0.696500	0         	0.696500	0.35252   	0.696500	0.0112193 	0.696500	0.35252   	
0.697000	0         	0.697000	0.352513  	0.697000	0.0112263 	0.697000	0.352513  	
0.697500	0         	0.697500	0.352506  	0.697500	0.0112334 	0.697500	0.352506  	
0.698000	0         	0.698000	0.352499  	0.698000	0.0112404 	0.698000	0.352499  	
0.698500	0         	0.698500	0.352492  	0.698500	0.0112474 	0.698500	0.352492  	
0.699000	0         	0.699000	0.352485  	0.699000	0.0112544 	0.699000	0.352485  	
0.699500	0         	0.699500	0.352478  	0.699500	0.0112615 	0.699500	0.352478  	
0.700000	0         	0.700000	0.352471  	0.700000	0.0112685 	0.700000	0.352471  	
0.700500	0         	0.700500	0.352464  	0.700500	0.0112755 	0.700500	0.352464  	
0.701000	0         	0.701000	0.352457  	0.701000	0.0112825 	0.701000	0.352457  	
0.701500	0         	0.701500	0.35245   	0.701500	0.0112895 	0.701500	0.35245   	
0.702000	0         	0.702000	0.352443  	0.702000	0.0112965 	0.702000	0.352443  	
0.702500	0         	0.702500	0.352436  	0.702500	0.0113035 	0.702500	0.352436  	
0.703000	0         	0.703000	0.352429  	0.703000	0.0113105 	0.703000	0.352429  	
