Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.660000	0         	0.660000	7.04826   	0.660000	0.214944  	0.660000	7.04826   	
0.660500	0         	0.660500	7.04812   	0.660500	0.215086  	0.660500	7.04812   	
0.661000	0         	0.661000	7.04798   	0.661000	0.215229  	0.661000	7.04798   	
0.661500	0         	0.661500	7.04784   	0.661500	0.215372  	0.661500	7.04784   	
0.662000	0         	0.662000	7.04769   	0.662000	0.215514  	0.662000	7.04769   	
0.662500	0         	0.662500	7.04755   	0.662500	0.215657  	0.662500	7.04755   	
0.663000	0         	0.663000	7.04741   	0.663000	0.215799  	0.663000	7.04741   	
0.663500	0         	0.663500	7.04727   	0.663500	0.215941  	0.663500	7.04727   	
0.664000	0         	0.664000	7.04712   	0.664000	0.216084  	0.664000	7.04712   	
0.664500	0         	0.664500	7.04698   	0.664500	0.216226  	0.664500	7.04698   	
0.665000	0         	0.665000	7.04684   	0.665000	0.216369  	0.665000	7.04684   	
0.665500	0         	0.665500	7.0467    	0.665500	0.216511  	0.665500	7.0467    	
0.666000	0         	0.666000	7.04655   	0.666000	0.216653  	0.666000	7.04655   	
0.666500	0         	0.666500	7.04641   	0.666500	0.216795  	0.666500	7.04641   	
0.667000	0         	0.667000	7.04627   	0.667000	0.216938  	0.667000	7.04627   	
0.667500	0         	0.667500	7.04613   	0.667500	0.21708   	0.667500	7.04613   	
0.668000	0         	0.668000	7.04598   	0.668000	0.217222  	0.668000	7.04598   	
0.668500	0         	0.668500	7.04584   	0.668500	0.217364  	0.668500	7.04584   	
0.669000	0         	0.669000	7.0457    	0.669000	0.217506  	0.669000	7.0457    	
0.669500	0         	0.669500	7.04556   	0.669500	0.217648  	0.669500	7.04556   	
0.670000	0         	0.670000	7.04542   	0.670000	0.217791  	0.670000	7.04542   	
0.670500	0         	0.670500	7.04527   	0.670500	0.217933  	0.670500	7.04527   	
0.671000	0         	0.671000	7.04513   	0.671000	0.218075  	0.671000	7.04513   	
0.671500	0         	0.671500	7.04499   	0.671500	0.218216  	0.671500	7.04499   	
0.672000	0         	0.672000	7.04485   	0.672000	0.218358  	0.672000	7.04485   	
0.672500	0         	0.672500	7.04471   	0.672500	0.218499  	0.672500	7.04471   	
0.673000	0         	0.673000	7.04457   	0.673000	0.218641  	0.673000	7.04457   	
0.673500	0         	0.673500	7.04442   	0.673500	0.218782  	0.673500	7.04442   	
0.674000	0         	0.674000	7.04428   	0.674000	0.218924  	0.674000	7.04428   	
0.674500	0         	0.674500	7.04414   	0.674500	0.219065  	0.674500	7.04414   	
0.675000	0         	0.675000	7.044     	0.675000	0.219207  	0.675000	7.044     	
0.675500	0         	0.675500	7.04386   	0.675500	0.219348  	0.675500	7.04386   	
0.676000	0         	0.676000	7.04372   	0.676000	0.21949   	0.676000	7.04372   	
0.676500	0         	0.676500	7.04358   	0.676500	0.219631  	0.676500	7.04358   	
0.677000	0         	0.677000	7.04343   	0.677000	0.219773  	0.677000	7.04343   	
0.677500	0         	0.677500	7.04329   	0.677500	0.219914  	0.677500	7.04329   	
0.678000	0         	0.678000	7.04315   	0.678000	0.220055  	0.678000	7.04315   	
0.678500	0         	0.678500	7.04301   	0.678500	0.220196  	0.678500	7.04301   	
0.679000	0         	0.679000	7.04287   	0.679000	0.220338  	0.679000	7.04287   	
0.679500	0         	0.679500	7.04273   	0.679500	0.220479  	0.679500	7.04273   	
0.680000	0         	0.680000	7.04259   	0.680000	0.22062   	0.680000	7.04259   	
0.680500	0         	0.680500	7.04245   	0.680500	0.220761  	0.680500	7.04245   	
0.681000	0         	0.681000	7.0423    	0.681000	0.220903  	0.681000	7.0423    	
0.681500	0         	0.681500	7.04216   	0.681500	0.221044  	0.681500	7.04216   	
0.682000	0         	0.682000	7.04202   	0.682000	0.221185  	0.682000	7.04202   	
0.682500	0         	0.682500	7.04188   	0.682500	0.221326  	0.682500	7.04188   	
0.683000	0         	0.683000	7.04174   	0.683000	0.221467  	0.683000	7.04174   	
0.683500	0         	0.683500	7.0416    	0.683500	0.221608  	0.683500	7.0416    	
0.684000	0         	0.684000	7.04146   	0.684000	0.221749  	0.684000	7.04146   	
0.684500	0         	0.684500	7.04132   	0.684500	0.22189   	0.684500	7.04132   	
0.685000	0         	0.685000	7.04118   	0.685000	0.222031  	0.685000	7.04118   	
0.685500	0         	0.685500	7.04103   	0.685500	0.222172  	0.685500	7.04103   	
0.686000	0         	0.686000	7.04089   	0.686000	0.222313  	0.686000	7.04089   	
0.686500	0         	0.686500	7.04075   	0.686500	0.222454  	0.686500	7.04075   	
0.687000	0         	0.687000	7.04061   	0.687000	0.222595  	0.687000	7.04061   	
0.687500	0         	0.687500	7.04047   	0.687500	0.222736  	0.687500	7.04047   	
0.688000	0         	0.688000	7.04033   	0.688000	0.222876  	0.688000	7.04033   	
0.688500	0         	0.688500	7.04019   	0.688500	0.223017  	0.688500	7.04019   	
0.689000	0         	0.689000	7.04005   	0.689000	0.223158  	0.689000	7.04005   	
0.689500	0         	0.689500	7.03991   	0.689500	0.223298  	0.689500	7.03991   	
0.690000	0         	0.690000	7.03977   	0.690000	0.223439  	0.690000	7.03977   	
0.690500	0         	0.690500	7.03963   	0.690500	0.22358   	0.690500	7.03963   	
0.691000	0         	0.691000	7.03949   	0.691000	0.22372   	0.691000	7.03949   	
0.691500	0         	0.691500	7.03935   	0.691500	0.223861  	0.691500	7.03935   	
0.692000	0         	0.692000	7.03921   	0.692000	0.224001  	0.692000	7.03921   	
0.692500	0         	0.692500	7.03907   	0.692500	0.224142  	0.692500	7.03907   	
0.693000	0         	0.693000	7.03892   	0.693000	0.224282  	0.693000	7.03892   	
0.693500	0         	0.693500	7.03878   	0.693500	0.224423  	0.693500	7.03878   	
0.694000	0         	0.694000	7.03864   	0.694000	0.224563  	0.694000	7.03864   	
0.694500	0         	0.694500	7.0385    	0.694500	0.224704  	0.694500	7.0385    	
0.695000	0         	0.695000	7.03836   	0.695000	0.224844  	0.695000	7.03836   	
0.695500	0         	0.695500	7.03822   	0.695500	0.224984  	0.695500	7.03822   	
0.696000	0         	0.696000	7.03808   	0.696000	0.225125  	0.696000	7.03808   	
0.696500	0         	0.696500	7.03794   	0.696500	0.225265  	0.696500	7.03794   	
0.697000	0         	0.697000	7.0378    	0.697000	0.225405  	0.697000	7.0378    	
0.697500	0         	0.697500	7.03766   	0.697500	0.225545  	0.697500	7.03766   	
0.698000	0         	0.698000	7.03752   	0.698000	0.225685  	0.698000	7.03752   	
0.698500	0         	0.698500	7.03738   	0.698500	0.225825  	0.698500	7.03738   	
0.699000	0         	0.699000	7.03724   	0.699000	0.225965  	0.699000	7.03724   	
0.699500	0         	0.699500	7.0371    	0.699500	0.226105  	0.699500	7.0371    	
