Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.660000	0         	0.660000	0.286531  	0.660000	0.00872832	0.660000	0.286531  	
0.660500	0         	0.660500	0.286525  	0.660500	0.00873395	0.660500	0.286525  	
0.661000	0         	0.661000	0.28652   	0.661000	0.00873958	0.661000	0.28652   	
0.661500	0         	0.661500	0.286514  	0.661500	0.0087452 	0.661500	0.286514  	
0.662000	0         	0.662000	0.286509  	0.662000	0.00875083	0.662000	0.286509  	
0.662500	0         	0.662500	0.286503  	0.662500	0.00875645	0.662500	0.286503  	
0.663000	0         	0.663000	0.286497  	0.663000	0.00876207	0.663000	0.286497  	
0.663500	0         	0.663500	0.286492  	0.663500	0.00876769	0.663500	0.286492  	
0.664000	0         	0.664000	0.286486  	0.664000	0.00877331	0.664000	0.286486  	
0.664500	0         	0.664500	0.286481  	0.664500	0.00877892	0.664500	0.286481  	
0.665000	0         	0.665000	0.286475  	0.665000	0.00878454	0.665000	0.286475  	
0.665500	0         	0.665500	0.286469  	0.665500	0.00879015	0.665500	0.286469  	
0.666000	0         	0.666000	0.286464  	0.666000	0.00879576	0.666000	0.286464  	
0.666500	0         	0.666500	0.286458  	0.666500	0.00880137	0.666500	0.286458  	
0.667000	0         	0.667000	0.286452  	0.667000	0.00880698	0.667000	0.286452  	
0.667500	0         	0.667500	0.286447  	0.667500	0.00881258	0.667500	0.286447  	
0.668000	0         	0.668000	0.286441  	0.668000	0.00881819	0.668000	0.286441  	
0.668500	0         	0.668500	0.286436  	0.668500	0.00882379	0.668500	0.286436  	
0.669000	0         	0.669000	0.28643   	0.669000	0.00882939	0.669000	0.28643   	
0.669500	0         	0.669500	0.286424  	0.669500	0.00883498	0.669500	0.286424  	
0.670000	0         	0.670000	0.286419  	0.670000	0.00884058	0.670000	0.286419  	
0.670500	0         	0.670500	0.286413  	0.670500	0.00884617	0.670500	0.286413  	
0.671000	0         	0.671000	0.286408  	0.671000	0.00885177	0.671000	0.286408  	
0.671500	0         	0.671500	0.286402  	0.671500	0.00885736	0.671500	0.286402  	
0.672000	0         	0.672000	0.286396  	0.672000	0.00886294	0.672000	0.286396  	
0.672500	0         	0.672500	0.286391  	0.672500	0.00886853	0.672500	0.286391  	
0.673000	0         	0.673000	0.286385  	0.673000	0.00887411	0.673000	0.286385  	
0.673500	0         	0.673500	0.28638   	0.673500	0.0088797 	0.673500	0.28638   	
0.674000	0         	0.674000	0.286374  	0.674000	0.00888528	0.674000	0.286374  	
0.674500	0         	0.674500	0.286369  	0.674500	0.00889086	0.674500	0.286369  	
0.675000	0         	0.675000	0.286363  	0.675000	0.00889643	0.675000	0.286363  	
0.675500	0         	0.675500	0.286357  	0.675500	0.008902  	0.675500	0.286357  	
0.676000	0         	0.676000	0.286352  	0.676000	0.00890758	0.676000	0.286352  	
0.676500	0         	0.676500	0.286346  	0.676500	0.00891315	0.676500	0.286346  	
0.677000	0         	0.677000	0.286341  	0.677000	0.00891871	0.677000	0.286341  	
0.677500	0         	0.677500	0.286335  	0.677500	0.00892428	0.677500	0.286335  	
0.678000	0         	0.678000	0.28633   	0.678000	0.00892984	0.678000	0.28633   	
