Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.660000	0         	0.660000	105.737   	0.660000	3.23709   	0.660000	105.737   	
0.660500	0         	0.660500	105.735   	0.660500	3.23916   	0.660500	105.735   	
0.661000	0         	0.661000	105.732   	0.661000	3.24123   	0.661000	105.732   	
0.661500	0         	0.661500	105.73    	0.661500	3.2433    	0.661500	105.73    	
0.662000	0         	0.662000	105.728   	0.662000	3.24537   	0.662000	105.728   	
0.662500	0         	0.662500	105.726   	0.662500	3.24744   	0.662500	105.726   	
0.663000	0         	0.663000	105.724   	0.663000	3.2495    	0.663000	105.724   	
0.663500	0         	0.663500	105.722   	0.663500	3.25157   	0.663500	105.722   	
0.664000	0         	0.664000	105.72    	0.664000	3.25364   	0.664000	105.72    	
0.664500	0         	0.664500	105.718   	0.664500	3.2557    	0.664500	105.718   	
0.665000	0         	0.665000	105.716   	0.665000	3.25776   	0.665000	105.716   	
0.665500	0         	0.665500	105.714   	0.665500	3.25983   	0.665500	105.714   	
0.666000	0         	0.666000	105.712   	0.666000	3.26189   	0.666000	105.712   	
0.666500	0         	0.666500	105.71    	0.666500	3.26395   	0.666500	105.71    	
0.667000	0         	0.667000	105.708   	0.667000	3.26601   	0.667000	105.708   	
0.667500	0         	0.667500	105.706   	0.667500	3.26807   	0.667500	105.706   	
0.668000	0         	0.668000	105.704   	0.668000	3.27013   	0.668000	105.704   	
0.668500	0         	0.668500	105.702   	0.668500	3.27218   	0.668500	105.702   	
0.669000	0         	0.669000	105.699   	0.669000	3.27424   	0.669000	105.699   	
0.669500	0         	0.669500	105.697   	0.669500	3.2763    	0.669500	105.697   	
0.670000	0         	0.670000	105.695   	0.670000	3.27835   	0.670000	105.695   	
0.670500	0         	0.670500	105.693   	0.670500	3.2804    	0.670500	105.693   	
0.671000	0         	0.671000	105.691   	0.671000	3.28246   	0.671000	105.691   	
0.671500	0         	0.671500	105.689   	0.671500	3.28451   	0.671500	105.689   	
0.672000	0         	0.672000	105.687   	0.672000	3.28656   	0.672000	105.687   	
0.672500	0         	0.672500	105.685   	0.672500	3.28861   	0.672500	105.685   	
0.673000	0         	0.673000	105.683   	0.673000	3.29066   	0.673000	105.683   	
0.673500	0         	0.673500	105.681   	0.673500	3.29271   	0.673500	105.681   	
0.674000	0         	0.674000	105.679   	0.674000	3.29476   	0.674000	105.679   	
0.674500	0         	0.674500	105.677   	0.674500	3.2968    	0.674500	105.677   	
0.675000	0         	0.675000	105.675   	0.675000	3.29885   	0.675000	105.675   	
0.675500	0         	0.675500	105.673   	0.675500	3.30089   	0.675500	105.673   	
0.676000	0         	0.676000	105.671   	0.676000	3.30294   	0.676000	105.671   	
0.676500	0         	0.676500	105.669   	0.676500	3.30498   	0.676500	105.669   	
0.677000	0         	0.677000	105.667   	0.677000	3.30702   	0.677000	105.667   	
0.677500	0         	0.677500	105.665   	0.677500	3.30906   	0.677500	105.665   	
0.678000	0         	0.678000	105.663   	0.678000	3.3111    	0.678000	105.663   	
0.678500	0         	0.678500	105.661   	0.678500	3.31314   	0.678500	105.661   	
0.679000	0         	0.679000	105.659   	0.679000	3.31518   	0.679000	105.659   	
0.679500	0         	0.679500	105.656   	0.679500	3.31721   	0.679500	105.656   	
0.680000	0         	0.680000	105.654   	0.680000	3.31925   	0.680000	105.654   	
0.680500	0         	0.680500	105.652   	0.680500	3.32128   	0.680500	105.652   	
0.681000	0         	0.681000	105.65    	0.681000	3.32332   	0.681000	105.65    	
0.681500	0         	0.681500	105.648   	0.681500	3.32535   	0.681500	105.648   	
0.682000	0         	0.682000	105.646   	0.682000	3.32738   	0.682000	105.646   	
0.682500	0         	0.682500	105.644   	0.682500	3.32941   	0.682500	105.644   	
0.683000	0         	0.683000	105.642   	0.683000	3.33143   	0.683000	105.642   	
0.683500	0         	0.683500	105.64    	0.683500	3.33346   	0.683500	105.64    	
0.684000	0         	0.684000	105.638   	0.684000	3.33549   	0.684000	105.638   	
0.684500	0         	0.684500	105.636   	0.684500	3.33751   	0.684500	105.636   	
0.685000	0         	0.685000	105.634   	0.685000	3.33954   	0.685000	105.634   	
0.685500	0         	0.685500	105.632   	0.685500	3.34156   	0.685500	105.632   	
0.686000	0         	0.686000	105.63    	0.686000	3.34358   	0.686000	105.63    	
0.686500	0         	0.686500	105.628   	0.686500	3.3456    	0.686500	105.628   	
0.687000	0         	0.687000	105.626   	0.687000	3.34762   	0.687000	105.626   	
0.687500	0         	0.687500	105.624   	0.687500	3.34964   	0.687500	105.624   	
