! [3] Total: All reactions   (pps)
! <sup>238 </sup>U (345 MeV/u) + Be (5 mm); &nbsp; Settings on <sup>138 </sup>Sn<sup> 50+</sup><sup>..</sup><sup> 50+</sup>; &nbsp;<small><font color=darkgreen>Config:</font> D|<sup>b</sup>|<sub>w</sub>D|<sup>b</sup>|<sup>b</sup><sub>m</sub><sub>m</sub><sub>m</sub>DD<sub>m</sub>|<sub>w</sub><sub>m</sub>DD<sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub>|<sub>m</sub><sub>m</sub><sup>b</sup><sub>m</sub>|<sub>m</sub><sub>m</sub><sub>m</sub>D|<sub>m</sub><sub>m</sub><sup>b</sup><sup>b</sup>|<sub>w</sub><sub>m</sub><sub>m</sub>D<sub>m</sub>|<sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sup>d</sup><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>m</sub><sub>a</sub></small>
! dp/p=6.00%; &nbsp; Wedges: Al (2 mm), Al (2 mm), Al (2 mm); &nbsp; Brho(Tm): 7.5000, 7.0981, 7.0664, 7.0664, 6.6105....
! N=0-200
! 	Neutrons (N)	Protons (Z)	Value [pps]
78	51	1.905386e-08
79	51	0.0006233223
79	52	1.856457e-06
80	51	0.198992
80	52	0.004424477
81	49	1.744915e-09
81	51	2.347858
81	52	0.331233
81	53	4.447678e-06
82	46	4.732663e-09
82	47	6.342005e-07
82	48	4.408742e-05
82	49	0.00109551
82	50	0.2261977
82	51	2.456326
82	52	1.065711
82	53	0.01427113
83	45	3.454416e-10
83	46	1.858062e-08
83	47	2.792302e-06
83	48	0.0007724444
83	49	0.06555119
83	50	8.621725
83	51	1.668149
83	52	0.8496671
83	53	0.02157438
83	54	2.326435e-07
84	46	8.316119e-07
84	47	4.289099e-05
84	48	0.006088574
84	49	1.942546
84	50	145.8869
84	51	32.1964
84	52	48.77927
84	53	0.2974983
84	54	0.0001900322
85	46	5.085987e-06
85	47	7.026003e-05
85	48	0.01142992
85	49	3.245727
85	50	287.6278
85	51	137.2323
85	52	326.821
85	53	52.26686
85	54	0.01169685
85	55	1.516219e-07
86	47	1.236092e-07
86	48	0.002417883
86	49	0.8919764
86	50	160.9882
86	51	85.69484
86	52	629.5692
86	53	407.7952
86	54	2.44086
86	55	0.0008338629
87	48	2.807411e-07
87	49	0.03011797
87	50	12.85249
87	51	11.95081
87	52	218.3283
87	53	444.5774
87	54	50.34986
87	55	0.0009049456
87	56	3.016598e-10
88	48	5.314428e-08
88	49	0.001454463
88	50	0.4763537
88	51	90.00689
88	52	51.16091
88	53	261.9933
88	54	201.2223
88	55	0.002617672
88	56	6.302271e-07
89	49	7.23184e-08
89	50	0.005875601
89	51	2.181832
89	52	191.3254
89	53	56.86516
89	54	84.71346
89	55	6.735316
89	56	1.202875e-10
90	49	4.038683e-09
90	50	0.0001630938
90	51	0.04244915
90	52	8.894885
90	53	5.112949
90	54	13.82224
90	55	11.84032
90	56	2.452437e-05
91	50	1.112227e-09
91	51	0.0001658982
91	52	0.04892702
91	53	4.861214
91	54	0.8961482
91	55	1.578967
91	56	0.04229063
92	51	4.603085e-09
92	52	0.0001190502
92	53	0.0195499
92	54	0.001051142
92	55	0.009461614
92	56	0.001269896
93	52	3.959393e-08
93	53	1.744446e-06
93	54	3.347311e-07
93	55	3.956143e-06
93	56	0.0004652774
93	57	1.667609e-09
