Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
1.900000	0         	1.900000	3.41817   	1.900000	0.292645  	1.900000	3.41817   	
1.901000	0         	1.901000	3.41803   	1.901000	0.292785  	1.901000	3.41803   	
1.902000	0         	1.902000	3.41789   	1.902000	0.292925  	1.902000	3.41789   	
1.903000	0         	1.903000	3.41775   	1.903000	0.293065  	1.903000	3.41775   	
1.904000	0         	1.904000	3.41761   	1.904000	0.293205  	1.904000	3.41761   	
1.905000	0         	1.905000	3.41747   	1.905000	0.293345  	1.905000	3.41747   	
1.906000	0         	1.906000	3.41733   	1.906000	0.293485  	1.906000	3.41733   	
1.907000	0         	1.907000	3.41719   	1.907000	0.293625  	1.907000	3.41719   	
1.908000	0         	1.908000	3.41705   	1.908000	0.293765  	1.908000	3.41705   	
1.909000	0         	1.909000	3.41691   	1.909000	0.293905  	1.909000	3.41691   	
1.910000	0         	1.910000	3.41677   	1.910000	0.294045  	1.910000	3.41677   	
1.911000	0         	1.911000	3.41663   	1.911000	0.294185  	1.911000	3.41663   	
1.912000	0         	1.912000	3.41649   	1.912000	0.294325  	1.912000	3.41649   	
1.913000	0         	1.913000	3.41636   	1.913000	0.294464  	1.913000	3.41636   	
1.914000	0         	1.914000	3.41622   	1.914000	0.294604  	1.914000	3.41622   	
1.915000	0         	1.915000	3.41608   	1.915000	0.294744  	1.915000	3.41608   	
1.916000	0         	1.916000	3.41594   	1.916000	0.294883  	1.916000	3.41594   	
1.917000	0         	1.917000	3.4158    	1.917000	0.295023  	1.917000	3.4158    	
1.918000	0         	1.918000	3.41566   	1.918000	0.295162  	1.918000	3.41566   	
1.919000	0         	1.919000	3.41552   	1.919000	0.295302  	1.919000	3.41552   	
1.920000	0         	1.920000	3.41538   	1.920000	0.295441  	1.920000	3.41538   	
1.921000	0         	1.921000	3.41524   	1.921000	0.29558   	1.921000	3.41524   	
1.922000	0         	1.922000	3.4151    	1.922000	0.29572   	1.922000	3.4151    	
1.923000	0         	1.923000	3.41496   	1.923000	0.295859  	1.923000	3.41496   	
1.924000	0         	1.924000	3.41482   	1.924000	0.295998  	1.924000	3.41482   	
1.925000	0         	1.925000	3.41468   	1.925000	0.296138  	1.925000	3.41468   	
1.926000	0         	1.926000	3.41454   	1.926000	0.296277  	1.926000	3.41454   	
1.927000	0         	1.927000	3.4144    	1.927000	0.296416  	1.927000	3.4144    	
1.928000	0         	1.928000	3.41426   	1.928000	0.296555  	1.928000	3.41426   	
1.929000	0         	1.929000	3.41413   	1.929000	0.296694  	1.929000	3.41413   	
1.930000	0         	1.930000	3.41399   	1.930000	0.296833  	1.930000	3.41399   	
1.931000	0         	1.931000	3.41385   	1.931000	0.296972  	1.931000	3.41385   	
1.932000	0         	1.932000	3.41371   	1.932000	0.297111  	1.932000	3.41371   	
1.933000	0         	1.933000	3.41357   	1.933000	0.29725   	1.933000	3.41357   	
1.934000	0         	1.934000	3.41343   	1.934000	0.297389  	1.934000	3.41343   	
1.935000	0         	1.935000	3.41329   	1.935000	0.297528  	1.935000	3.41329   	
1.936000	0         	1.936000	3.41315   	1.936000	0.297667  	1.936000	3.41315   	
1.937000	0         	1.937000	3.41301   	1.937000	0.297806  	1.937000	3.41301   	
1.938000	0         	1.938000	3.41287   	1.938000	0.297945  	1.938000	3.41287   	
1.939000	0         	1.939000	3.41274   	1.939000	0.298083  	1.939000	3.41274   	
1.940000	0         	1.940000	3.4126    	1.940000	0.298222  	1.940000	3.4126    	
1.941000	0         	1.941000	3.41246   	1.941000	0.29836   	1.941000	3.41246   	
1.942000	0         	1.942000	3.41232   	1.942000	0.298498  	1.942000	3.41232   	
1.943000	0         	1.943000	3.41218   	1.943000	0.298636  	1.943000	3.41218   	
1.944000	0         	1.944000	3.41205   	1.944000	0.298773  	1.944000	3.41205   	
1.945000	0         	1.945000	3.41191   	1.945000	0.29891   	1.945000	3.41191   	
1.946000	0         	1.946000	3.41177   	1.946000	0.299046  	1.946000	3.41177   	
1.947000	0         	1.947000	3.41164   	1.947000	0.299183  	1.947000	3.41164   	
1.948000	0         	1.948000	3.4115    	1.948000	0.29932   	1.948000	3.4115    	
1.949000	0         	1.949000	3.41136   	1.949000	0.299456  	1.949000	3.41136   	
1.950000	0         	1.950000	3.41123   	1.950000	0.299593  	1.950000	3.41123   	
1.951000	0         	1.951000	3.41109   	1.951000	0.299729  	1.951000	3.41109   	
1.952000	0         	1.952000	3.41095   	1.952000	0.299866  	1.952000	3.41095   	
1.953000	0         	1.953000	3.41082   	1.953000	0.300002  	1.953000	3.41082   	
1.954000	0         	1.954000	3.41068   	1.954000	0.300139  	1.954000	3.41068   	
1.955000	0         	1.955000	3.41054   	1.955000	0.300275  	1.955000	3.41054   	
1.956000	0         	1.956000	3.41041   	1.956000	0.300411  	1.956000	3.41041   	
1.957000	0         	1.957000	3.41027   	1.957000	0.300547  	1.957000	3.41027   	
1.958000	0         	1.958000	3.41014   	1.958000	0.300683  	1.958000	3.41014   	
1.959000	0         	1.959000	3.41      	1.959000	0.300819  	1.959000	3.41      	
1.960000	0         	1.960000	3.40986   	1.960000	0.300955  	1.960000	3.40986   	
1.961000	0         	1.961000	3.40973   	1.961000	0.301091  	1.961000	3.40973   	
1.962000	0         	1.962000	3.40959   	1.962000	0.301227  	1.962000	3.40959   	
1.963000	0         	1.963000	3.40946   	1.963000	0.301363  	1.963000	3.40946   	
1.964000	0         	1.964000	3.40932   	1.964000	0.301498  	1.964000	3.40932   	
1.965000	0         	1.965000	3.40919   	1.965000	0.301634  	1.965000	3.40919   	
1.966000	0         	1.966000	3.40905   	1.966000	0.301769  	1.966000	3.40905   	
1.967000	0         	1.967000	3.40891   	1.967000	0.301905  	1.967000	3.40891   	
1.968000	0         	1.968000	3.40878   	1.968000	0.30204   	1.968000	3.40878   	
1.969000	0         	1.969000	3.40864   	1.969000	0.302176  	1.969000	3.40864   	
1.970000	0         	1.970000	3.40851   	1.970000	0.302311  	1.970000	3.40851   	
1.971000	0         	1.971000	3.40837   	1.971000	0.302446  	1.971000	3.40837   	
