Thickness of SUS flat deg [mm]1	138Sn 50+	Thickness of SUS flat deg [mm]2	138Sn 50+	Thickness of SUS flat deg [mm]3	138Sn 50+	Thickness of SUS flat deg [mm]4	138Sn 49+	Thickness of SUS flat deg [mm]5	138Sn 49+	Thickness of SUS flat deg [mm]6	138Sn 49+	Thickness of SUS flat deg [mm]7	138Sn 48+	Thickness of SUS flat deg [mm]8	138Sn 48+	Thickness of SUS flat deg [mm]9	138Sn 48+	Thickness of SUS flat deg [mm]10	138Sn 50+	Thickness of SUS flat deg [mm]11	138Sn 50+	Thickness of SUS flat deg [mm]12	138Sn 50+	Thickness of SUS flat deg [mm]13	138Sn 49+	Thickness of SUS flat deg [mm]14	138Sn 49+	Thickness of SUS flat deg [mm]15	138Sn 49+	Thickness of SUS flat deg [mm]16	138Sn 48+	Thickness of SUS flat deg [mm]17	138Sn 50+	Thickness of SUS flat deg [mm]18	138Sn 50+	Thickness of SUS flat deg [mm]19	138Sn 49+	Thickness of SUS flat deg [mm]20	138Sn 50+	Thickness of SUS flat deg [mm]21	138Sn 49+	Thickness of SUS flat deg [mm]22	138Sn 48+	Thickness of SUS flat deg [mm]23	138Sn 50+	Thickness of SUS flat deg [mm]24	138Sn 49+	Thickness of SUS flat deg [mm]25	138Sn 50+	Thickness of SUS flat deg [mm]26	138Sn 49+	Thickness of SUS flat deg [mm]27	138Sn 50+	Thickness of SUS flat deg [mm]28	138Sn 49+	Thickness of SUS flat deg [mm]29	138Sn 50+	Thickness of SUS flat deg [mm]30	136Sn 50+	Thickness of SUS flat deg [mm]31	141Te 52+	Thickness of SUS flat deg [mm]32	139Sb 51+	Thickness of SUS flat deg [mm]33	141Te 51+	Thickness of SUS flat deg [mm]34	136Sn 49+	Thickness of SUS flat deg [mm]35	137Sn 50+	Thickness of SUS flat deg [mm]36	138Sb 51+	Thickness of SUS flat deg [mm]37	139Sb 50+	Thickness of SUS flat deg [mm]38	138Sb 50+	Thickness of SUS flat deg [mm]39	137Sn 49+	Thickness of SUS flat deg [mm]40	135In 49+	Thickness of SUS flat deg [mm]41	141Te 50+	Thickness of SUS flat deg [mm]42	136Sn 48+	Thickness of SUS flat deg [mm]43	139Sb 49+	Thickness of SUS flat deg [mm]44	136Sn 50+	Thickness of SUS flat deg [mm]45	136Sn 50+	Thickness of SUS flat deg [mm]46	135In 48+	Thickness of SUS flat deg [mm]47	138Sb 49+	Thickness of SUS flat deg [mm]48	137Sn 48+	Thickness of SUS flat deg [mm]49	136Sn 49+	Thickness of SUS flat deg [mm]50	136Sn 49+	
1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	1.07693e-11	1.850000	1.01654e-12	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	1.850000	0         	
1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	2.13273e-11	1.851000	2.05468e-12	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	1.851000	0         	
1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	4.00272e-11	1.852000	3.93646e-12	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	1.852000	0         	
1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	7.18206e-11	1.853000	7.19502e-12	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	1.853000	0         	
1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	1.23529e-10	1.854000	1.25832e-11	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	1.854000	0         	
1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	2.0437e-10	1.855000	2.11493e-11	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	1.855000	0         	
1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	3.25118e-10	1.856000	3.41718e-11	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	1.856000	0         	
1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	4.99066e-10	1.857000	5.31707e-11	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	1.857000	0         	
1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	7.40996e-10	1.858000	8.0056e-11	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	1.858000	0         	
1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	1.06569e-09	1.859000	1.16601e-10	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	1.859000	0         	
