Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
1.900000	0         	1.900000	64.6073   	1.900000	5.47272   	1.900000	64.6073   	
1.901000	0         	1.901000	64.6046   	1.901000	5.47539   	1.901000	64.6046   	
1.902000	0         	1.902000	64.6019   	1.902000	5.47806   	1.902000	64.6019   	
1.903000	0         	1.903000	64.5993   	1.903000	5.48073   	1.903000	64.5993   	
1.904000	0         	1.904000	64.5966   	1.904000	5.48339   	1.904000	64.5966   	
1.905000	0         	1.905000	64.5939   	1.905000	5.48606   	1.905000	64.5939   	
1.906000	0         	1.906000	64.5913   	1.906000	5.48873   	1.906000	64.5913   	
1.907000	0         	1.907000	64.5886   	1.907000	5.49139   	1.907000	64.5886   	
1.908000	0         	1.908000	64.5859   	1.908000	5.49406   	1.908000	64.5859   	
1.909000	0         	1.909000	64.5833   	1.909000	5.49673   	1.909000	64.5833   	
1.910000	0         	1.910000	64.5806   	1.910000	5.49939   	1.910000	64.5806   	
1.911000	0         	1.911000	64.5779   	1.911000	5.50206   	1.911000	64.5779   	
1.912000	0         	1.912000	64.5753   	1.912000	5.50472   	1.912000	64.5753   	
1.913000	0         	1.913000	64.5726   	1.913000	5.50738   	1.913000	64.5726   	
1.914000	0         	1.914000	64.5699   	1.914000	5.51004   	1.914000	64.5699   	
1.915000	0         	1.915000	64.5673   	1.915000	5.5127    	1.915000	64.5673   	
1.916000	0         	1.916000	64.5646   	1.916000	5.51534   	1.916000	64.5646   	
1.917000	0         	1.917000	64.562    	1.917000	5.51797   	1.917000	64.562    	
1.918000	0         	1.918000	64.5594   	1.918000	5.5206    	1.918000	64.5594   	
1.919000	0         	1.919000	64.5567   	1.919000	5.52323   	1.919000	64.5567   	
1.920000	0         	1.920000	64.5541   	1.920000	5.52586   	1.920000	64.5541   	
1.921000	0         	1.921000	64.5515   	1.921000	5.52849   	1.921000	64.5515   	
1.922000	0         	1.922000	64.5489   	1.922000	5.53112   	1.922000	64.5489   	
1.923000	0         	1.923000	64.5462   	1.923000	5.53375   	1.923000	64.5462   	
1.924000	0         	1.924000	64.5436   	1.924000	5.53638   	1.924000	64.5436   	
1.925000	0         	1.925000	64.541    	1.925000	5.53901   	1.925000	64.541    	
1.926000	0         	1.926000	64.5383   	1.926000	5.54164   	1.926000	64.5383   	
1.927000	0         	1.927000	64.5357   	1.927000	5.54427   	1.927000	64.5357   	
1.928000	0         	1.928000	64.5331   	1.928000	5.54689   	1.928000	64.5331   	
1.929000	0         	1.929000	64.5305   	1.929000	5.54952   	1.929000	64.5305   	
1.930000	0         	1.930000	64.5278   	1.930000	5.55215   	1.930000	64.5278   	
1.931000	0         	1.931000	64.5252   	1.931000	5.55477   	1.931000	64.5252   	
1.932000	0         	1.932000	64.5226   	1.932000	5.5574    	1.932000	64.5226   	
1.933000	0         	1.933000	64.52     	1.933000	5.56003   	1.933000	64.52     	
1.934000	0         	1.934000	64.5173   	1.934000	5.56265   	1.934000	64.5173   	
1.935000	0         	1.935000	64.5147   	1.935000	5.56528   	1.935000	64.5147   	
1.936000	0         	1.936000	64.5121   	1.936000	5.5679    	1.936000	64.5121   	
1.937000	0         	1.937000	64.5095   	1.937000	5.57052   	1.937000	64.5095   	
1.938000	0         	1.938000	64.5068   	1.938000	5.57315   	1.938000	64.5068   	
1.939000	0         	1.939000	64.5042   	1.939000	5.57577   	1.939000	64.5042   	
1.940000	0         	1.940000	64.5016   	1.940000	5.57839   	1.940000	64.5016   	
1.941000	0         	1.941000	64.499    	1.941000	5.58101   	1.941000	64.499    	
