Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
1.900000	0         	1.900000	119.286   	1.900000	10.0173   	1.900000	119.286   	
1.901000	0         	1.901000	119.281   	1.901000	10.0223   	1.901000	119.281   	
1.902000	0         	1.902000	119.276   	1.902000	10.0272   	1.902000	119.276   	
1.903000	0         	1.903000	119.271   	1.903000	10.0322   	1.903000	119.271   	
1.904000	0         	1.904000	119.266   	1.904000	10.0371   	1.904000	119.266   	
1.905000	0         	1.905000	119.261   	1.905000	10.0421   	1.905000	119.261   	
1.906000	0         	1.906000	119.256   	1.906000	10.047    	1.906000	119.256   	
1.907000	0         	1.907000	119.251   	1.907000	10.052    	1.907000	119.251   	
1.908000	0         	1.908000	119.246   	1.908000	10.0569   	1.908000	119.246   	
1.909000	0         	1.909000	119.241   	1.909000	10.0619   	1.909000	119.241   	
1.910000	0         	1.910000	119.236   	1.910000	10.0668   	1.910000	119.236   	
1.911000	0         	1.911000	119.231   	1.911000	10.0718   	1.911000	119.231   	
1.912000	0         	1.912000	119.226   	1.912000	10.0767   	1.912000	119.226   	
1.913000	0         	1.913000	119.221   	1.913000	10.0817   	1.913000	119.221   	
1.914000	0         	1.914000	119.216   	1.914000	10.0866   	1.914000	119.216   	
1.915000	0         	1.915000	119.211   	1.915000	10.0916   	1.915000	119.211   	
1.916000	0         	1.916000	119.207   	1.916000	10.0965   	1.916000	119.207   	
1.917000	0         	1.917000	119.202   	1.917000	10.1015   	1.917000	119.202   	
1.918000	0         	1.918000	119.197   	1.918000	10.1064   	1.918000	119.197   	
1.919000	0         	1.919000	119.192   	1.919000	10.1114   	1.919000	119.192   	
1.920000	0         	1.920000	119.187   	1.920000	10.1163   	1.920000	119.187   	
1.921000	0         	1.921000	119.182   	1.921000	10.1212   	1.921000	119.182   	
1.922000	0         	1.922000	119.177   	1.922000	10.1261   	1.922000	119.177   	
1.923000	0         	1.923000	119.172   	1.923000	10.131    	1.923000	119.172   	
1.924000	0         	1.924000	119.167   	1.924000	10.1359   	1.924000	119.167   	
1.925000	0         	1.925000	119.162   	1.925000	10.1408   	1.925000	119.162   	
1.926000	0         	1.926000	119.157   	1.926000	10.1457   	1.926000	119.157   	
1.927000	0         	1.927000	119.152   	1.927000	10.1506   	1.927000	119.152   	
1.928000	0         	1.928000	119.148   	1.928000	10.1555   	1.928000	119.148   	
1.929000	0         	1.929000	119.143   	1.929000	10.1603   	1.929000	119.143   	
1.930000	0         	1.930000	119.138   	1.930000	10.1652   	1.930000	119.138   	
1.931000	0         	1.931000	119.133   	1.931000	10.1701   	1.931000	119.133   	
1.932000	0         	1.932000	119.128   	1.932000	10.175    	1.932000	119.128   	
1.933000	0         	1.933000	119.123   	1.933000	10.1799   	1.933000	119.123   	
1.934000	0         	1.934000	119.118   	1.934000	10.1848   	1.934000	119.118   	
1.935000	0         	1.935000	119.113   	1.935000	10.1897   	1.935000	119.113   	
1.936000	0         	1.936000	119.109   	1.936000	10.1945   	1.936000	119.109   	
1.937000	0         	1.937000	119.104   	1.937000	10.1994   	1.937000	119.104   	
1.938000	0         	1.938000	119.099   	1.938000	10.2043   	1.938000	119.099   	
1.939000	0         	1.939000	119.094   	1.939000	10.2092   	1.939000	119.094   	
1.940000	0         	1.940000	119.089   	1.940000	10.2141   	1.940000	119.089   	
1.941000	0         	1.941000	119.084   	1.941000	10.219    	1.941000	119.084   	
1.942000	0         	1.942000	119.079   	1.942000	10.2239   	1.942000	119.079   	
1.943000	0         	1.943000	119.074   	1.943000	10.2287   	1.943000	119.074   	
1.944000	0         	1.944000	119.069   	1.944000	10.2336   	1.944000	119.069   	
1.945000	0         	1.945000	119.065   	1.945000	10.2385   	1.945000	119.065   	
1.946000	0         	1.946000	119.06    	1.946000	10.2434   	1.946000	119.06    	
1.947000	0         	1.947000	119.055   	1.947000	10.2483   	1.947000	119.055   	
1.948000	0         	1.948000	119.05    	1.948000	10.2532   	1.948000	119.05    	
1.949000	0         	1.949000	119.045   	1.949000	10.258    	1.949000	119.045   	
1.950000	0         	1.950000	119.04    	1.950000	10.2629   	1.950000	119.04    	
1.951000	0         	1.951000	119.035   	1.951000	10.2678   	1.951000	119.035   	
1.952000	0         	1.952000	119.03    	1.952000	10.2727   	1.952000	119.03    	
1.953000	0         	1.953000	119.025   	1.953000	10.2776   	1.953000	119.025   	
1.954000	0         	1.954000	119.021   	1.954000	10.2825   	1.954000	119.021   	
1.955000	0         	1.955000	119.016   	1.955000	10.2873   	1.955000	119.016   	
1.956000	0         	1.956000	119.011   	1.956000	10.2922   	1.956000	119.011   	
1.957000	0         	1.957000	119.006   	1.957000	10.2971   	1.957000	119.006   	
1.958000	0         	1.958000	119.001   	1.958000	10.302    	1.958000	119.001   	
1.959000	0         	1.959000	118.996   	1.959000	10.3069   	1.959000	118.996   	
1.960000	0         	1.960000	118.991   	1.960000	10.3117   	1.960000	118.991   	
1.961000	0         	1.961000	118.986   	1.961000	10.3166   	1.961000	118.986   	
1.962000	0         	1.962000	118.982   	1.962000	10.3215   	1.962000	118.982   	
1.963000	0         	1.963000	118.977   	1.963000	10.3263   	1.963000	118.977   	
1.964000	0         	1.964000	118.972   	1.964000	10.3312   	1.964000	118.972   	
1.965000	0         	1.965000	118.967   	1.965000	10.3361   	1.965000	118.967   	
1.966000	0         	1.966000	118.962   	1.966000	10.341    	1.966000	118.962   	
1.967000	0         	1.967000	118.957   	1.967000	10.3458   	1.967000	118.957   	
1.968000	0         	1.968000	118.952   	1.968000	10.3507   	1.968000	118.952   	
1.969000	0         	1.969000	118.947   	1.969000	10.3556   	1.969000	118.947   	
