Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
1.900000	0         	1.900000	6.15037   	1.900000	0.525118  	1.900000	6.15037   	
1.901000	0         	1.901000	6.15012   	1.901000	0.525369  	1.901000	6.15012   	
1.902000	0         	1.902000	6.14987   	1.902000	0.52562   	1.902000	6.14987   	
1.903000	0         	1.903000	6.14961   	1.903000	0.525871  	1.903000	6.14961   	
1.904000	0         	1.904000	6.14936   	1.904000	0.526122  	1.904000	6.14936   	
1.905000	0         	1.905000	6.14911   	1.905000	0.526373  	1.905000	6.14911   	
1.906000	0         	1.906000	6.14886   	1.906000	0.526624  	1.906000	6.14886   	
1.907000	0         	1.907000	6.14861   	1.907000	0.526875  	1.907000	6.14861   	
1.908000	0         	1.908000	6.14836   	1.908000	0.527126  	1.908000	6.14836   	
1.909000	0         	1.909000	6.14811   	1.909000	0.527377  	1.909000	6.14811   	
1.910000	0         	1.910000	6.14786   	1.910000	0.527627  	1.910000	6.14786   	
1.911000	0         	1.911000	6.14761   	1.911000	0.527878  	1.911000	6.14761   	
1.912000	0         	1.912000	6.14736   	1.912000	0.528128  	1.912000	6.14736   	
1.913000	0         	1.913000	6.14711   	1.913000	0.528378  	1.913000	6.14711   	
1.914000	0         	1.914000	6.14686   	1.914000	0.528628  	1.914000	6.14686   	
1.915000	0         	1.915000	6.14661   	1.915000	0.528877  	1.915000	6.14661   	
1.916000	0         	1.916000	6.14636   	1.916000	0.529127  	1.916000	6.14636   	
1.917000	0         	1.917000	6.14611   	1.917000	0.529375  	1.917000	6.14611   	
1.918000	0         	1.918000	6.14586   	1.918000	0.529623  	1.918000	6.14586   	
1.919000	0         	1.919000	6.14562   	1.919000	0.52987   	1.919000	6.14562   	
1.920000	0         	1.920000	6.14537   	1.920000	0.530117  	1.920000	6.14537   	
1.921000	0         	1.921000	6.14512   	1.921000	0.530364  	1.921000	6.14512   	
1.922000	0         	1.922000	6.14488   	1.922000	0.530611  	1.922000	6.14488   	
1.923000	0         	1.923000	6.14463   	1.923000	0.530857  	1.923000	6.14463   	
1.924000	0         	1.924000	6.14438   	1.924000	0.531104  	1.924000	6.14438   	
1.925000	0         	1.925000	6.14414   	1.925000	0.531351  	1.925000	6.14414   	
1.926000	0         	1.926000	6.14389   	1.926000	0.531597  	1.926000	6.14389   	
1.927000	0         	1.927000	6.14364   	1.927000	0.531844  	1.927000	6.14364   	
1.928000	0         	1.928000	6.1434    	1.928000	0.53209   	1.928000	6.1434    	
