#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1n(MeV)            S2n(MeV)
   20    9    122.253 0.281D+01     0.000 0.000D+00     0.000 0.000D+00
   20   10    150.126 0.262D+01    27.873 0.562D-02     0.000 0.000D+00
   20   11    173.957 0.239D+01    23.831 0.656D-02    51.703 0.120D-01
   20   12    199.718 0.215D+01    25.761 0.762D-02    49.591 0.141D-01
   20   13    220.641 0.190D+01    20.922 0.846D-02    46.683 0.160D-01
   20   14    244.187 0.168D+01    23.546 0.895D-02    44.468 0.174D-01
   20   15    261.648 0.148D+01    17.461 0.905D-02    41.006 0.180D-01
   20   16    280.716 0.132D+01    19.067 0.878D-02    36.528 0.178D-01
   20   17    295.572 0.119D+01    14.856 0.823D-02    33.924 0.170D-01
   20   18    312.560 0.110D+01    16.988 0.750D-02    31.844 0.157D-01
   20   19    325.533 0.102D+01    12.972 0.681D-02    29.960 0.142D-01
   20   20    341.303 0.951D+00    15.770 0.641D-02    28.742 0.131D-01
   20   21    350.196 0.884D+00     8.892 0.649D-02    24.663 0.127D-01
   20   22    362.094 0.821D+00    11.898 0.696D-02    20.790 0.133D-01
   20   23    370.440 0.769D+00     8.346 0.753D-02    20.244 0.144D-01
   20   24    381.726 0.739D+00    11.286 0.796D-02    19.632 0.154D-01
   20   25    389.122 0.735D+00     7.396 0.814D-02    18.682 0.160D-01
   20   26    399.437 0.756D+00    10.314 0.811D-02    17.710 0.162D-01
   20   27    406.527 0.796D+00     7.090 0.795D-02    17.404 0.160D-01
   20   28    416.188 0.848D+00     9.662 0.770D-02    16.752 0.156D-01
   20   29    420.977 0.903D+00     4.789 0.734D-02    14.451 0.149D-01
   20   30    427.728 0.953D+00     6.751 0.679D-02    11.540 0.140D-01
   20   31    431.433 0.986D+00     3.705 0.614D-02    10.456 0.127D-01
   20   32    437.073 0.989D+00     5.640 0.613D-02     9.345 0.118D-01
   20   33    439.846 0.951D+00     2.773 0.826D-02     8.413 0.138D-01
   20   34    444.525 0.880D+00     4.680 0.128D-01     7.452 0.207D-01
   20   35    446.500 0.824D+00     1.974 0.180D-01     6.654 0.305D-01
   20   36    450.340 0.860D+00     3.840 0.219D-01     5.814 0.396D-01
