#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1p(MeV)            S2p(MeV)
   20    9    122.253 0.281D+01     0.000 0.000D+00   -14.411 0.401D-01
   22    9    105.424 0.263D+01     0.000 0.000D+00   -16.828 0.230D-01
   20   10    150.126 0.262D+01    -4.161 0.159D-01   -11.845 0.447D-01
   22   10    135.236 0.255D+01     0.000 0.000D+00   -14.889 0.216D-01
   20   11    173.957 0.239D+01    -3.373 0.179D-01    -9.170 0.495D-01
   21   11    166.388 0.247D+01    -7.569 0.122D-01   -10.942 0.289D-01
   22   11    161.211 0.243D+01    -5.176 0.112D-01   -12.745 0.218D-01
   24   11    147.070 0.213D+01     0.000 0.000D+00   -14.141 0.331D-01
   26   11    130.445 0.201D+01     0.000 0.000D+00   -16.626 0.507D-01
   20   12    199.718 0.215D+01    -1.739 0.198D-01    -6.826 0.541D-01
   21   12    192.576 0.227D+01    -7.141 0.135D-01    -8.881 0.322D-01
   22   12    188.882 0.229D+01    -3.693 0.113D-01   -10.835 0.235D-01
   24   12    176.501 0.202D+01     0.000 0.000D+00   -12.381 0.314D-01
   26   12    161.540 0.187D+01     0.000 0.000D+00   -14.962 0.499D-01
   20   13    220.641 0.190D+01    -0.849 0.216D-01    -4.303 0.584D-01
   21   13    215.044 0.205D+01    -5.596 0.149D-01    -6.445 0.352D-01
   22   13    211.930 0.211D+01    -3.113 0.121D-01    -8.709 0.258D-01
   23   13    205.492 0.204D+01    -6.438 0.130D-01    -9.551 0.235D-01
   24   13    201.506 0.189D+01    -3.987 0.180D-01   -10.424 0.300D-01
   26   13    188.370 0.174D+01     0.000 0.000D+00   -13.137 0.489D-01
   28   13    173.890 0.216D+01     0.000 0.000D+00   -14.481 0.573D-01
   20   14    244.187 0.168D+01     0.537 0.233D-01    -2.163 0.622D-01
   21   14    239.144 0.183D+01    -5.042 0.159D-01    -4.505 0.378D-01
   22   14    237.319 0.191D+01    -1.824 0.131D-01    -6.866 0.280D-01
   23   14    231.304 0.188D+01    -6.014 0.132D-01    -7.838 0.247D-01
   24   14    228.607 0.175D+01    -2.697 0.175D-01    -8.712 0.294D-01
   26   14    217.084 0.160D+01     0.000 0.000D+00   -11.525 0.472D-01
   28   14    203.992 0.200D+01     0.000 0.000D+00   -13.093 0.576D-01
   20   15    261.648 0.148D+01     1.328 0.250D-01    -0.157 0.657D-01
   21   15    258.077 0.162D+01    -3.570 0.166D-01    -2.242 0.399D-01
   22   15    257.091 0.170D+01    -0.986 0.139D-01    -4.555 0.294D-01
   23   15    252.607 0.168D+01    -4.483 0.139D-01    -5.469 0.263D-01
   24   15    250.647 0.159D+01    -1.960 0.173D-01    -6.443 0.297D-01
   25   15    244.761 0.148D+01    -5.887 0.217D-01    -7.847 0.380D-01
   26   15    241.402 0.145D+01    -3.359 0.244D-01    -9.246 0.449D-01
   28   15    230.505 0.185D+01     0.000 0.000D+00   -10.898 0.581D-01
   20   16    280.716 0.132D+01     2.412 0.267D-01     1.592 0.688D-01
   21   16    277.916 0.142D+01    -2.798 0.170D-01    -0.387 0.418D-01
   22   16    278.208 0.149D+01     0.292 0.143D-01    -2.506 0.301D-01
