# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
    2    2   6.29  -2.39  0.021  0.000  0.000
    2    3  13.81  -2.06  0.021  0.000  0.000
    2    4  16.98  -1.31  0.120  0.004 -0.017
    2    5  25.32  -1.70  0.022  0.000  0.000
    2    6  31.00  -2.32  0.022  0.000  0.000
    2    7  41.75  -2.45  0.022  0.000  0.000
    2    8  50.99  -1.95  0.124  0.035 -0.010
    2    9  62.77  -2.58  0.111 -0.039 -0.006
    3    2  14.14  -1.92  0.021  0.000  0.000
    3    3  14.76  -1.12  0.021  0.000  0.000
    3    4  15.42  -0.50  0.118  0.006 -0.009
    3    5  21.06  -0.96  0.021  0.000  0.000
    3    6  24.50  -1.97  0.021  0.000  0.000
    3    7  33.28  -1.00  0.022  0.000  0.000
    3    8  40.57  -0.55  0.165  0.006 -0.022
    3    9  49.71  -0.96  0.111 -0.038 -0.004
    3   10  56.83  -2.51  0.022  0.000  0.000
    3   11  69.57  -0.71  0.095  0.040 -0.008
    4    2  18.35  -1.15  0.117  0.001 -0.012
    4    3  16.53  -0.48  0.122 -0.006 -0.008
    4    4   7.51   0.17  0.134  0.019 -0.026
    4    5  12.23  -0.16  0.120 -0.011 -0.025
    4    6  12.25  -1.06  0.021  0.000  0.000
    4    7  19.69  -0.52  0.117  0.002 -0.013
    4    8  24.32   0.15  0.116  0.000 -0.011
    4    9  33.62   0.77  0.115 -0.001 -0.012
    4   10  40.28   1.26  0.131  0.012 -0.019
    4   11  50.55   1.40  0.130  0.007 -0.024
    4   12  58.49   1.53  0.114 -0.011 -0.010
    4   13  69.46   1.23  0.022  0.000  0.000
    4   14  78.41   1.10  0.075 -0.029  0.002
    4   15  90.09   0.60  0.021 -0.001  0.000
    5    2  28.22  -1.35  0.023  0.000  0.000
    5    3  23.39  -0.97  0.022  0.000  0.000
    5    4  13.47  -0.09  0.122 -0.012 -0.024
    5    5  11.14  -0.49  0.084  0.012 -0.009
    5    6   8.58  -1.73  0.021  0.000  0.000
    5    7  13.36  -1.31  0.021  0.000  0.000
    5    8  16.36  -0.97  0.021  0.000  0.000
    5    9  23.68   0.15  0.079  0.009 -0.005
    5   10  29.31   0.89  0.122  0.002 -0.008
    5   11  37.36   1.14  0.118  0.000 -0.012
    5   12  43.96   1.10  0.085 -0.011 -0.002
    5   13  52.66   0.66  0.022  0.000  0.000
    5   14  60.61   0.58  0.072 -0.003 -0.004
    5   15  70.40   0.13  0.021 -0.001  0.000
    6    2  36.14  -1.71  0.101 -0.004 -0.021
    6    3  28.69  -2.01  0.023  0.000  0.000
    6    4  15.44  -0.91  0.022  0.000  0.000
    6    5  10.70  -1.49  0.022  0.000  0.000
    6    6   0.78  -2.80  0.022  0.000  0.000
    6    7   4.30  -2.57  0.021  0.000  0.000
    6    8   4.11  -2.41  0.021  0.000  0.000
    6    9  10.47  -1.34  0.053 -0.001 -0.004
    6   10  13.45  -0.67  0.056  0.003 -0.009
    6   11  20.66  -0.47  0.038 -0.002 -0.001
    6   12  24.93  -0.56  0.043  0.001 -0.004
    6   13  33.04  -0.88  0.038  0.000 -0.003
    6   14  38.53  -1.37  0.022  0.000  0.000
    6   15  47.85  -1.65  0.021  0.000  0.000
    6   16  54.98  -1.81  0.020 -0.001  0.000
    6   17  65.85  -1.51  0.019 -0.001  0.000
    6   18  75.01  -0.72  0.036  0.003 -0.004
    6   19  86.99  -0.11  0.052 -0.008  0.000
    7    2  47.99  -3.08  0.025  0.000  0.000
    7    3  39.11  -1.61  0.024  0.000  0.000
    7    4  24.90  -0.48  0.118  0.001 -0.013
    7    5  17.59  -1.06  0.079  0.007 -0.005
    7    6   6.61  -2.30  0.022  0.000  0.000
    7    7   4.06  -2.30  0.022  0.000  0.000
    7    8   1.71  -2.38  0.022  0.000  0.000
    7    9   5.61  -1.45  0.050 -0.001 -0.006
